,scale,w1-freq,w2-freq,mean-freq,harm-freq
298,298 - живой - мёртвый неживой,284.0,77.7,180.85,122.02
88,88 - будущее - прошлое былое прошедшее,131.4,113.7,122.55000000000001,121.91
596,596 - плакать - смеяться хохотать,103.9,146.70000000000002,125.30000000000001,121.65
206,206 - глубокий - мелкий,137.3,108.5,122.9,121.21
692,692 - светлый - мрачный тёмный,90.5,178.4,134.45,120.08
751,751 - узкий - широкий,88.3,183.9,136.1,119.31
338,338 - зима - лето,106.0,135.0,120.5,118.76
715,715 - смеяться - плакать рыдать,117.9,119.5,118.7,118.69
628,628 - правда - вранье обман неправда ложь,252.4,77.5,164.95,118.59
673,673 - редкий - частый густой,90.2,161.8,126.0,115.83
436,436 - мешать - помогать,100.4,134.5,117.45,114.97
305,305 - жить - умирать,725.5,62.0,393.75,114.24
251,251 - дальний - близкий ближний,74.9,237.70000000000002,156.3,113.91
