w1,w2,examples
['БЕДНОСТЬ'],['БОГАТСТВО'],"[['С юношеской пылкостью, болезненно переживал несправедливость неравенства людей, ощущал остроту контрастов: бедности и богатства, голода и довольства.', ['бедности'], ['богатства']], ['Мера богатства и бедности, счастья и несчастья, радости и страдания находится вовсе не в природе вещей и не в действительном положении человека, а в его внутреннем состоянии.', ['бедности'], ['богатства']], ['Если ты не желаешь многого, то и немногое будет казаться тебе многим. Ибо желание малого приравнивает бедность богатству.', ['бедность'], ['богатству']]]"
['БЕДНЫЙ'],['БОГАТЫЙ'],"[['Он, сам того не замечая, наделал долгов. Кто раньше был богат, а теперь беден, тот поймет это «не замечая».', ['беден'], ['богат']], ['В городе мы сильнее чувствовали стену, которая была между нами: я знатна и богата, а он беден.', ['беден'], ['богата']], ['Не тот беден, кто прибедняется. Не тот богат, кто похваляется.', ['беден'], ['богат']], ['Мы входим в дом, не особенно большой, не бедный и не богатый, очень старый, — но, по словам Кавасэ, ему столетья полтора, может быть, даже два.', ['бедный'], ['богатый']], ['Да ить это хорошо, бедный ли, богатый урожай.', ['бедный'], ['богатый']], ['Тянулась жизнь — как иу всех, кто живет, — богатая длинными горестями и бедная короткими радостями.', ['бедная'], ['богатая']], ['Ее первое замужество — результат столкновения богатой, переполненной чувствами и доверчивой души с душой пустой, жестокой и бедной в своей маленькой житейской опытности.', ['бедной'], ['богатой']], ['Моя родная сторона, У той кровавой даты Как ты была еще бедна И как уже богата!', ['бедна'], ['богата']], ['В первом периоде ритмы Пушкина бедны, однообразны и случайны. Во втором они богаты, но стеснены правилами, которые поэт соблюдает строго.', ['бедны'], ['богаты']]]"
"['БЕДНЫЙ', 'БЕДНЫЙ']","['БОГАЧ', 'БОГАТЫЙ']","[['Богач норовит, как бы бедного с ног сбить.', ['бедного'], ['Богач']], ['У бедных просить легче, чем у богатых.', ['бедных'], ['богатых']], ['Богатому и на гору вода течет, а бедному и в долине колодец копать.', ['бедному'], ['Богатому']], ['Богатого за стол усаживают, а бедного и так выпроваживают.', ['бедного'], ['Богатого']], ['Бедному с богатым судиться — лучше в море утопиться.', ['Бедному'], ['богатым']], ['Бедный — как может, а богатый — как хочет.', ['Бедный'], ['богатый']], ['Богатый и в будни пирует, а бедный и в праздник горюет.', ['бедный'], ['Богатый']]]"
"['БЕДНЯК', 'БЕДНЯК']","['БОГАЧ', 'БОГАТЫЙ']","[['Едва ли есть какой бы то ни было забитый, страдающий от насилия и роскоши богачей бедняк, который бы в сотой доле чувствовал, как я чувствую теперь, всю ту несправедливость, жестокость, весь ужас того насилия, издевательства богатых над бедными и всей подавленности, униженности — бедственности положения всего огромного большинства людей настоящего, трудящегося и делающего жизнь рабочего народа.', ['бедняк'], ['богачей']], ['С одной стороны, бессребренник дядя Ремонт, бедняк и отколыш. С другой — богач и десятинник Нефед и горлан Гаврик, эти своего не упустят.', ['бедняк'], ['богач']]]"
['БЕДСТВИЕ'],['БЛАГО'],"[['Свобода, братство, в особенности равенство, великие блага, когда они последствия любви и потому смирения, и величайшие бедствия, когда они достигаются насилием, — революциями.', ['бедствия'], ['блага']]]"
['БЕЗДАРНОСТЬ'],['ТАЛАНТЛИВОСТЬ'],"[['Пильняку, конечно, приятно верить, что литературная талантливость и политическая бездарность «самимбогом установлены,и вольтерианцы против этого напрасно говорят».', ['бездарность'], ['талантливость']], ['Бездарность романа — талантливость романа.', ['Бездарность'], ['талантливость']]]"
['БЕЗДАРНОСТЬ'],['ТАЛАНТ'],"[['В 60-х годах не было в нашей литературе ни одного таланта и, важнее, ни одной бездарности, которая не пыталась бы «перепирать» песни Гейне на русский и на русский с разными примесями язык.', ['бездарности'], ['таланта']], ['Разумеется, здесь, кроме всего прочего, идет борьба гения и таланта с посредственностью и бездарностью', ['таланта'], ['бездарностью']]]"
['БЕЗДАРНЫЙ'],['ТАЛАНТЛИВЫЙ'],"[['Вся история состоит из подобных примеров, а в жизни они встречаются на каждом шагу, да так и должно быть, иначе умный и талантливый человек не имел бы никакого преимущества перед глупцом и бездарным.', ['бездарным'], ['талантливый']], ['Внезапно с юношеской непримиримостью и категоричностью он стал делить профессоров и преподавателей на талантливых и бездарных.', ['бездарных'], ['талантливых']], ['Если эти романы и повести были часто, несомненно, талантливы вотнощении чисто литературном, то они были исключительно бездарны в политическом отношении.', ['бездарны'], ['талантливы']]]"
['БЕЗДЕЛЬЕ'],['ДЕЛО'],"[['Дело веди, а безделье гони.', ['безделье'], ['Дело']], ['Мешай дело с бездельем, проводи век с весельем.', ['бездельем'], ['дело']], ['Люди за дело, а он за безделье.', ['безделье'], ['дело']], ['Откладывай безделье, но не откладывай дела.', ['безделье'], ['дела']], ['Пошел за делом, а вернулся с бездельем.', ['бездельем'], ['делом']]]"
['БЕЗДЕЛЬНИЧАТЬ'],['РАБОТАТЬ'],"[['И в конце концов, хватит бездельничать, я хочу работать!', ['бездельничать'], ['работать']]]"
['БЕЗЗАКОНИЕ'],['ЗАКОН'],"[['Не бойся молнии и грома, Не бойся цепи и бича, Не бойся яда и меча, Ни беззаконья, ни закона, Ни урагана, ни грозы, Ни человеческого стона, Ни человеческой слезы.', ['беззаконья'], ['закона']]]"
['БЕЗЛЮДНЫЙ'],['ЛЮДНЫЙ'],"[['Я увидел чудный закат солнца над безлюдной пустыней, открывавшейся вдруг за перевалом горы в нескольких километрах от людного города, лежавщего у ее подножия по другую сторону.', ['безлюдной'], ['людного']], ['Долго и бессознательно бродил он по улицам, по людным и безлюдным переулкам и, наконец, зашел в глушь, где уже не было города и где расстилалось пожелтевшее поле.', ['безлюдным'], ['людным']]]"
['БЕЗНАДЁЖНОСТЬ'],['НАДЕЖДА'],"[['Она так устала от чередования надежды и безнадежности, что иногда ею овладевало желание пойти к нему и спросить начистоту: да или нет?', ['безнадежности'], ['надежды']], ['Все те, для кого безнадежность - надежда, Кому все отчаянья — радости нет, Выходят из мрака на свет.', ['безнадежность'], ['надежда']]]"
['БЕЗНАЧАЛЬНЫЙ'],['БЕСКОНЕЧНЫЙ'],"[['Небо - не начало и конец, а безначальное и бесконечное продолжение земли.', ['безначальное'], ['бесконечное']]]"
['БЕЗНРАВСТВЕННЫЙ'],['НРАВСТВЕННЫЙ'],"[['Ценность— это то, ито возвышенно,нравственно и прекрасно, а ничем не ограниченное стремление к наслаждениям бывает низменным, безнравственным и безобразным.', ['безнравственным'], ['нравственно']], ['Иложь возвеличения ничтожного, не художественного и не только нравственного, но прямо безнравственного писателя делает свое губительное дело.', ['безнравственного'], ['нравственного']]]"
"['БЕЗОБРАЗНЫЙ', 'БЕЗОБРАЗНЫЙ']","['ПРЕКРАСНЫЙ', 'КРАСИВЫЙ']","[['Устроить так, чтобы все стало новым: чтобы безобразная наша жизнь стала прекрасной жизнью.', ['безобразная'], ['прекрасной']], ['Ценность - это то, что возвышенно, нравственно и прекрасно, а ничем не ограниченное стремление к наслаждению бывает низменным, безнравственным и безобразным. ', ['безобразным'], ['прекрасно']], ['Безобразный поступок - прекрасный// красивый поступок.', ['Безобразный'], ['прекрасный']], ['Это таинственное «оно», которому Фофанов не знал названия, было не чем иным, как полнотой жизни, принятой во всем своем объеме, от своих самых великих до самых низменных проявлений, от всего прекрасного до всего безобразного.', ['безобразного'], ['прекрасного']], ['Благо, полезное, красивое — это то, что соответствует природе, а зло, пагубное, безобразное — то, что противно ей.', ['безобразное'], ['красивое']]]"
['БЕЗЫМЯННЫЙ'],['ИМЕНИТЫЙ'],"[['Именитые и безымянные композиторы перелагают их (стихи) на настоящуюмузыку.', ['безымянные'], ['Именитые']]]"
['БЕЛЕТЬ'],['ЧЕРНЕТЬ'],"[['Побелеть от хлорки — почернеть от огня.', ['Побелеть'], ['почернеть']], ['Вдоль моря мы едем; Налево белеют хребты, Направо синеют, просторы узоря, Валы, а над ними чернеют кресты.', ['белеют'], ['чернеют']]]"
['БЕЛИТЬ'],['ЧЕРНИТЬ'],"[['Не все белит, что бело; не все чернит, что черно.', ['белит'], ['чернит']]]"
['БЕЛОВОЙ'],['ЧЕРНОВОЙ'],"[['Посылаю тебе это письмо и прошение беловое, списанное с присланного им чернового прошения.', ['беловое'], ['чернового']]]"
['БЕЛОРУЧКА'],['ЧЕРНОРАБОЧИЙ'],"[['Обеим бабкамя вышла — внучка: Чернорабочий и белоручка!', ['белоручка'], ['Чернорабочий']]]"
['БЕЛЫЙ'],['ЧЁРНЫЙ'],"[['В четырехугольном белом пятне подушки его черная голова сначала выделялась резко,а потом стала таять и растаяла.', ['белом'], ['черная']], ['Сквозь тонкие белые пальчики рук сверкали ее черные глазки, и платье цвета морской волны окутывало всю ее мягкими, пышными волнами.', ['белые'], ['черные']], ['В своих суждениях о людях он клал густые краски, только белую и черную, не признавая никаких оттенков.', ['белую'], ['черную']], ['Черные тени узорной решетки Ясно ложатся по белому снегу.', ['белому'], ['Черные']], ['Ворона хотела бы, чтобы все на свете было черным, сова — чтобы все было белым.', ['белым'], ['черным']], ['Черный маленький мальчик на белом снегу. «Чистить трубы кому?» — он кричит на бегу.', ['белом'], ['Черный']], ['На черной земле белый хлеб родится.', ['белый'], ['черной']], ['У пахаря рука черна, да хлеб бел.', ['бел'], ['черна']], ['Он только своей совестью мог разобраться, что в практической,повседневной жизни черное и что белое.', ['белое'], ['черное']], ['Слово бело, да дело черно.', ['бело'], ['черно']]]"
['БЕСКОНЕЧНЫЙ'],['КОНЕЧНЫЙ'],"[['Время бесконечно, а жизнь человека конечна.', ['бесконечно'], ['конечна']]]"
['БЕСКОРЫСТНЫЙ'],['КОРЫСТНЫЙ'],"[['Кто бескорыстней был ?!— Нет, я корыстна! Раз не убъешь, — корысти нет скрывать, Что я у всех выпрашиваю письма: Чтоб ночью целовать.', ['бескорыстней'], ['корыстна']]]"
['БЕСПОКОИТЬСЯ'],['УСПОКАИВАТЬСЯ'],"[['И о тебе думаю и то беспокоюсь, то успокаиваюсь.', ['беспокоюсь'], ['успокаиваюсь']]]"
['БЕСПОЛЕЗНЫЙ'],['ПОЛЕЗНЫЙ'],"[['У Дидро полезное — это новое, боевое, разрушающее всякое «бесполезное»старье.', ['бесполезное'], ['полезное']], ['Может быть, это и полезно для работы ума, но для общей работы это бесполезно.', ['бесполезно'], ['полезно']], ['Вопрос же о том, кто на земле полезен и бесполезен, не Буренину решать и не нам.', ['бесполезен'], ['полезен']]]"
['БЕССИЛИЕ'],['СИЛА'],"[['Он с сознанием своей силы, величавый, гордый, с губительным ядом в руке, я с сознанием своего бессилия, жалкий, готовый погибнуть — оба молчали.', ['бессилия'], ['силы']]]"
"['БЕССИЛИЕ', 'БЕССИЛИЕ']","['СИЛА', 'МОЩЬ']","[['Он начал говорить ей о силе богатых и бессилии бедных.', ['бессилии'], ['силе']]]"
['БЕССИЛЬНЫЙ'],['СИЛЬНЫЙ'],"[['Волга сильного любит, а бессильного губит.', ['бессильного'], ['сильного']], ['Советы благодаря руководству мелкобуржуазных демократов уже бессильны, а буржуазия еще недостаточно сильна, чтобы прямо разогнать их.', ['бессильны'], ['сильна']], ['У сильного всегда бессильный виноват.', ['бессильный'], ['сильного']]]"
['БЕССЛАВИЕ'],['СЛАВА'],"[['Смысл этой пушкинской речи: жене декабриста — слава в потомстве, а ее палачу Николаю — бесславие, ненависть.', ['бесславие'], ['слава']]]"
['БЕССМЕРТИЕ'],['СМЕРТЬ'],"[['Заговорили о смерти, о бессмертии души, о том, что хорошо бы на самом деле воскреснуть и потом полететь куда-нибудь на Марс.', ['бессмертии'], ['смерти']], ['Причем шутил он (Воровский) над собой, над своими, быть может, последними вздохами, над всяким страхом смерти, над всяким бредом о бессмертии.', ['бессмертии'], ['смерти']], ['В нас есть суровая свобода: На слезы обрекая мать, Бессмертье своего народа Своею смертью покупать.', ['Бессмертье'], ['смертью']], ['У храбрых есть только бессмертие, смерти у храбрых нет.', ['бессмертие'], ['смерти']]]"
['БЕССМЕРТНЫЙ'],['СМЕРТНЫЙ'],"[['А душа, говорят, бессмертна! Не попы, а мы, коммунисты, Говорим, ито она бессмертна, Если вложена в наши души, Если вложена в наше тело, Если наше смертное тело, Не страшась, мы сожгли в огне На Отечественной войне.', ['бессмертна'], ['смертное']]]"
['БЕССОЗНАТЕЛЬНО'],['СОЗНАТЕЛЬНО'],"[['Литературное произведение всегда отражает, сознательно или бессознательно, психологию того класса, выразителем которого является данный писатель.', ['бессознательно'], ['сознательно']], ['Когда художник рассказывает вам событие,сплетает перед вами композицию целиком из образов,то вложенная им туда сознательно (а иногда и бессознательно) оценка действует тем сильнее.', ['бессознательно'], ['сознательно']], ['Если хорошенько присмотреться, то окажется, что многие шедевры человеческой литературы сознательно, а порою бессознательно оказываются политическими песнями.', ['бессознательно'], ['сознательно']]]"
['БЕССОЗНАТЕЛЬНЫЙ'],['СОЗНАТЕЛЬНЫЙ'],"[['И в нас самих, в наших душах, в их сознательном и бессознательном укладе, в явных деяниях дня и тайных сновидениях ночи чудится мне, чтоу всеху нас есть потребность обратиться к России в ее историческом целом, окинуть взором основы и первоосновы ее культуры, увидеть их в их силе и славе, увидеть все это не только в исторической ткани нашей страны, но и в нас самих, в наших душах, в их сознательном и бессознательном укладе.', ['бессознательном'], ['сознательном']], ['Оно (название «Ложь») уместно только там, где идет речь о сознательной лжи. Бессознательная ложь есть не ложь, а ошибка.', ['Бессознательная'], ['сознательной']]]"
['БЕССПОРНЫЙ'],['СПОРНЫЙ'],"[['Мы дрались с различными внутрипартийными группировками по вопросам, которые были принципиально ясны и бесспорны для громадного большинства членов нашей партии, но которые казались спорными для той или другой оппозиционной группы.', ['бесспорны'], ['спорными']]]"
['БЕСТОЛКОВЫЙ'],['ТОЛКОВЫЙ'],"[['Бестолковый ученик — толковый ученик.', ['Бестолковый'], ['толковый']], ['Бестолковый ребенок — толковый ребенок.', ['Бестолковый'], ['толковый']], ['Обнимаю тебя — письмо мое бестолково, да некогда мне быть толковее.', ['бестолково'], ['толковее']], ['Бестолковый разговор — толковый разговор.', ['Бестолковый'], ['толковый']], ['Бестолковый совет — толковый совет.', ['Бестолковый'], ['толковый']], ['Бестолковое решение — толковое решение.', ['Бестолковое'], ['толковое']]]"
['БЕСЧЕЛОВЕЧНЫЙ'],['ЧЕЛОВЕЧНЫЙ'],"[['Мало того, я по себе и по многим другим вижу людей, на моих глазах переходивших от бесчеловечного стремления к человечному.', ['бесчеловечного'], ['человечному']]]"
['БЛАГОНАДЁЖНЫЙ'],['НЕБЛАГОНАДЁЖНЫЙ'],"[['Если ты политически благонадежен, то этого достаточно, чтобы быть вполне удовлетворительным гражданином; то же самое и улиберальных: достаточно быть неблагонадежным, чтобы все остальное было как бы не замечено.', ['благонадежен'], ['неблагонадежным']]]"
['БЛАГОПОЛУЧНО'],['НЕБЛАГОПОЛУЧНО'],"[['Хорошо, что все кончилось благополучно, а могло кончиться и неблагополучно.', ['благополучно'], ['неблагополучно']], ['Доехали, голубчик Саша, благополучно — ох, если бы только у вас бы не было не очень неблагополучно.', ['благополучно'], ['неблагополучно']]]"
['БЛАГОПОЛУЧНЫЙ'],['НЕБЛАГОПОЛУЧНЫЙ'],"[['Или из настоящего несовершенного мещанства — в будущее совершенное, из неблагополучного капиталистического муравейника — в благополучный социалистический.', ['благополучный'], ['неблагополучного']]]"
['БЛАГОРАЗУМИЕ'],['НЕБЛАГОРАЗУМИЕ'],"[['Внешнее неблагоразумие такого шага было на самом деле тем высоким благоразумием, которое на войне так часто не совпадает с, казалось бы, ясными на первый взгляд требованиями здравого смысла.', ['благоразумием'], ['неблагоразумие']]]"
['БЛАГОРОДНЫЙ'],['НЕБЛАГОРОДНЫЙ'],"[['Благородный человек — неблагородный человек.', ['благородный'], ['неблагородный']], ['В коние концов все средства в поэзии хороши, если служат своей цели — усилить выразительность слова, и нет средств «благородных» и ‹неблагородных».', ['благородных'], ['неблагородных']], ['Медицина не делает различия между болезнями красивыми и отвратительными, психология — между благородными и неблагородными аффектами, зоология — между животными интересными и неинтересными.', ['благородными'], ['неблагородными']]]"
"['БЛАГОРОДНЫЙ', 'БЛАГОРОДНЫЙ']","['НИЗМЕННЫЙ', 'НИЗКИЙ']","[['Она никогда никому не верила, и как бы благородны ни были намерения, она всегда подозревала в них мелкие или низменные побуждения и эгоистические цели.', ['благородны'], ['низменные']], ['Как поэма Данте, лирика Верхарна должна охватить всю нашу современность,со всеми ее трагическимии смешными, благороднымии низменными чертами.', ['благороднымии'], ['низменными']], ['Страсти человека делятся на благородные и низкие, первые из них, направленные к доброй цели, управляемые рассудком, делают человека благороднейшим и отличнейшим от существ обыкновенных, коим неизвестны чувствования душ возвышенных.', ['благородные'], ['низкие']]]"
['БЛАГОРОДСТВО'],['НИЗОСТЬ'],"[['Ни при каких обстоятельствах подлость не может выглядеть доблестью, низость — благородством.', ['благородством'], ['низость']]]"
['БЛИЖАЙШИЙ'],['ОТДАЛЁННЫЙ'],"[['А в оде 1790 года Ломоносов, вдохновенно прославляя науку, говорит о ближайших и отдаленных задачах механики, химии, метеорологии, географии — о том, чего достигли эти науки, об их возможностях.', ['ближайших'], ['отдаленных']], ['В его волнениях и страданиях, да и во всей его жизни, он не видел ни ближайших, ни отдаленных высших целей, а видел только скуку и неумение жить.', ['ближайших'], ['отдаленных']], ['На Сахалине, как и везде на каторге, всякое предприятие должно иметь своею ближайшею и отдаленною целью только одно — исправление преступника.', ['ближайшею'], ['отдаленною']]]"
"['БЛИЖНИЙ', 'БЛИЖНИЙ']","['ДАЛЬНИЙ', 'ДАЛЁКИЙ']","[['С ближних и дальних гумен ползли и таяли в займище звуки молотьбы, крики погонычей.', ['ближних'], ['дальних']], ['Выпавший ночью снег лежал на ближних и дальних крышах, еще не тронутый копотью.', ['ближних'], ['дальних']], ['Ближняя соломка лучше дальнего сенца.', ['Ближняя'], ['дальнего']], ['В нем (русском языке) гудение далеких колоколов и серебро ближних колокольчиков.', ['ближних'], ['далеких']], ['Передо мной в оконной раме Ближний лес назад идет, А далекий — вместе с нами Пробирается вперед.', ['Ближний'], ['далекий']], ['Был знаменит Федя на дальние и ближние дороги.', ['ближние'], ['дальние']], ['Ехать ближним путем — ехать далеким путем.', ['ближним'], ['далеким']]]"
"['БЛИЗКИЙ', 'БЛИЗКИЙ']","['ДАЛЁКИЙ', 'ДАЛЬНИЙ']","[['Ночь — лжива в расстояниях: то, что близко, кажется далеким, а далекое близким.', ['близко'], ['далеким']], ['Звуки близкого боя затихли, слышны были только далекие глухие разрывы мин там, на возвышенностях, где дрались полки.', ['близкого'], ['далекие']], ['На праздник великий — обычай таков — Далеких и близких зовем земляков.', ['близких'], ['Далеких']], ['Близкий сосед лучше дальней родни.', ['Близкий'], ['дальней']], ['И многое из того, что сегодня нам представляется «невероятным» и «далеким», предстоит изучать как вероятное и близкое.', ['близкое'], ['далеким']], ['Начинаешь чувствовать себя непоправимо одиноким, и все то, что считал раньше близким и родным, становится бесконечно далекими не имеющимцены.', ['близким'], ['далекими']], ['В мире не бывало другого народа, для которого руководящим началом всех трудов и стремлений была бы такая неотступная мысль о завоевании счастья для близких и далеких потомков.', ['близких'], ['далеких']], ['Романтичность и достоверность рассказа о близких и дальних перспективах науки в значительной мере определяют пропагандистское значение книги.', ['близких'], ['дальних']], ['Неизвестно, путь ее Близок ли, далек, Свяжется ль, не свяжется Шерстяной чулок.', ['Близок'], ['далек']]]"
"['БЛИЗКИЙ', 'БЛИЗКИЙ']","['ДАЛЁКИЙ', 'ЧУЖОЙ']","[['Большинство людей не только далеких, но, казалось бы, близких по убеждениям, не оценят вашу жизнь, даже осудят ее.', ['близких'], ['далеких']], ['Цели же своей высылка эта, разумеется, не достигла, потому что она близких людей сблизила еще больше, средних, колеблющихся людей привлекла на сторону правды и в самых далеких вызвала неудовольствие против правительства и недоверие к нему.', ['близких'], ['далеких']], ['Народы родственные и близкие менее способны друг друга понять и более отталкиваются друг от друга, чем далекие и чужие.', ['близкие'], ['далекие']], ['Но и отец — такой всегда близкий и теплый — мне показался холодным и чужим.', ['близкий'], ['чужим']]]"
['БЛИЗКИЙ'],['ЧУЖОЙ'],"[['Близкие люди — чужие люди.', ['Близкие'], ['чужие']], ['Чужим многое прощают,но своим, близким ничего не хотят простить.', ['близким'], ['Чужим']], ['А когда стыдятся, то прячутся прежде всего от близких и откровенничают с чужими.', ['близких'], ['чужими']]]"
"['БЛИЗКО', 'БЛИЗКО']","['ДАЛЕКО', 'ВДАЛИ']","[['Теперь ему казалось, что небо было близко к нему, а земля далеко.', ['близко'], ['далеко']], ['Был тихий, теплый вечер; нигде не стреляли — ни далеко, ни близко.', ['близко'], ['далеко']], ['Ложусьв траву, на грудь земли. И твойдвукратный зов Звучиттак близко и вдали, Кочуетмеж холмов.', ['близко'], ['вдали']]]"
['БЛИЗКО'],['ДАЛЕКО'],"[['Ехал — близко ли, далеко. Кому надо, вымеряй, Только, рай, прощай до срока, И опять — передний край.', ['близко'], ['далеко']], ['Близко, да склизко, далеко, да легко.', ['Близко'], ['далеко']]]"
['БЛИЗОСТЬ'],['ОТДАЛЁННОСТЬ'],"[['И потому определять близость или отдаленность себя и других от идеала Христа никак нельзя по тому положению, в котором находится человек, а по тем поступкам, которые он совершает.', ['близость'], ['отдаленность']]]"
['БЛИЗЬ'],['ДАЛЬ'],"[['И ни в близи, ни в дали нет любви, а есть недоброта.', ['близи'], ['дали']], ['Даль, отдалившая мне близь, Даль, говорящая: «Вернись! Домой» Со всех — до горних звезд — Меня снимающая мест!', ['близь'], ['Даль']], ['Вары — взяли и Татры - взяли, Взяли близи и взяли дали, Но — больнее, чем рай земной! — Битву взяли — за край родной.', ['близи'], ['дали']]]"
