	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
9						96	0.16171800289881794	0.02743954187146154	186.0	5.103754788091846																					33	-0.09795735655263982	0.04281558445878051	428.0	18.32507014835806						173	0.1888839700303364	0.04051682619821134	118.0	4.780985491388939						81	-0.11476659963476352	0.0455660098710109	304.0	13.852067000787313											53	0.19160616360187968	0.007442631134394497	194.0	1.4438704400725324	124	0.22590275148187836	0.008183239744948057	136	1.1129206053129357	105	0.20448842617568733	0.042325910769500284	99.0	4.190265166180528
10						215	0.16167226169589405	0.027483906295355052	186.0	5.11200657093604																					120	0.09771251036172919	0.04334011635253104	428.0	18.549569798883283						75	0.18750956464874502	0.04202583457959376	118.0	4.959048480392064						166	-0.11389800748721787	0.04723802777765363	304.0	14.360360444406703											11	0.18799450044220498	0.008665265561489369	194.0	1.6810615189289375	300	0.22546521401762154	0.00831126218292588	136	1.1303316568779198	212	-0.20063544677710612	0.046454410978128254	99.0	4.598986686834697
11						274	0.16149861969613188	0.02765288090768635	186.0	5.143435848829661																					191	0.09686502363525157	0.04519763478768614	428.0	19.344587689129668						200	-0.18657168713444158	0.0430822804369805	118.0	5.0837090915636995						82	0.11313060853392991	0.048757680731204685	304.0	14.822334942286224											252	0.17344391387098257	0.015582871245314477	194.0	3.0230770215910083	99	-0.22121248193187332	0.00965089601888749	136	1.3125218585686986	225	-0.19991342588651415	0.04726403244226191	99.0	4.679139211783929
12						151	0.16072356067289653	0.028417984030678273	186.0	5.285745029706159																					259	-0.09600913525443057	0.047140990178982774	428.0	20.176343796604627						201	0.18611366757354803	0.04360620031096082	118.0	5.145531636693376						297	-0.11293852766852028	0.04914437766759807	304.0	14.939890810949814											149	-0.17161365718512178	0.016727995366280436	194.0	3.2452311010584043	266	-0.21975614133589422	0.01015155414761724	136	1.3806113640759445	22	-0.19947263046491354	0.047764026253526104	99.0	4.728638599099084
13						84	0.16003034792586077	0.029117544182064577	186.0	5.415863217864011																					78	0.09506495796970219	0.049365569617465646	428.0	21.128463796275298						169	0.18362670856527785	0.0465445344566029	118.0	5.492255065879142																					108	-0.17118114049760516	0.01700907746721015	194.0	3.2997610286387693	282	0.21932997470101143	0.010302321012954108	136	1.4011156577617587	51	-0.1983228310060696	0.04908887160612734	99.0	4.859798289006607
14						41	0.15981088540536756	0.029342057424835928	186.0	5.457622681019482																															20	-0.18342399552567207	0.04679112157648223	118.0	5.521352346024903																					243	-0.16993353204709893	0.01784302718902823	194.0	3.461547274671477	54	0.21347756871012286	0.012581115135293124	136	1.7110316583998648					
15						11	-0.15971336500536132	0.029442295215998598	186.0	5.476266910175739																															223	-0.18302827432619934	0.047275617142059655	118.0	5.5785228227630395																					297	-0.1685351296944761	0.01881981058095157	194.0	3.651043252704605	58	-0.21258806057633267	0.012963559110914385	136	1.7630440390843563					
16						207	-0.15885751199603412	0.03033459687183536	186.0	5.642235018161377																															13	0.18264007907482632	0.04775493719879977	118.0	5.635082589458373																					106	0.16768180497406163	0.019438381132973047	194.0	3.771045939796771	216	-0.21179828674328482	0.01331160525020966	136	1.8103783140285137					
17						240	-0.15854678450883228	0.03066421011084166	186.0	5.703543080616549																															163	0.1825870011565934	0.04782078682420365	118.0	5.64285284525603																					20	-0.16673294348020068	0.020146827442472613	194.0	3.908484523839687	182	-0.2113939518403506	0.013492932431139708	136	1.8350388106350004					
18						144	0.15811945056194496	0.031122495868896	186.0	5.788784231614656																															272	-0.18246179928433934	0.04797641342766799	118.0	5.6612167844648225																					262	-0.1656268287757373	0.02100080397890199	194.0	4.074155971906986	262	0.21020353246135448	0.014039372137943965	136	1.9093546107603792					
19						40	-0.15731567759428125	0.03200029166516075	186.0	5.9520542497199																																																								282	-0.16363161971367798	0.02262050394507502	194.0	4.388377765344553	253	-0.20888105812687474	0.014668981450733174	136	1.9949814772997116					
20						100	0.15722844256364607	0.03209681454178942	186.0	5.970007504772832																																																								274	0.1629458986594396	0.023201505644766102	194.0	4.501092095084624	159	-0.2074421709901323	0.015381832471808923	136	2.0919292161660135					
21						267	-0.1568744571733388	0.03249103211644075	186.0	6.043331973657979																																																								29	-0.16286607640765075	0.023269966017947445	194.0	4.514373407481805	206	-0.2069600028697439	0.015627359511525826	136	2.1253208935675123					
22						202	0.15585530803852513	0.033649055774316136	186.0	6.258724374022801																																																								146	-0.16270723808842483	0.02340671308372605	194.0	4.540902338242853	50	0.20067246384532264	0.019154893324402355	136	2.60506549211872					
23						236	0.15446918933128212	0.03528009678376874	186.0	6.562098001780986																																																								99	0.16226875387608608	0.023787810579041866	194.0	4.614835252334122	77	-0.1998014713550726	0.01969412379775411	136	2.678400836494559					
24						54	-0.15425774554442231	0.03553469105360133	186.0	6.609452535969848																																																								292	-0.16195442100576446	0.024064280528330036	194.0	4.668470422496027	190	0.1986147646335478	0.020449876245212197	136	2.781183169348859					
25						27	-0.15394202084285702	0.03591774016698118	186.0	6.6806996710585																																																								34	0.1551725987313309	0.03073861893699224	194.0	5.963292073776494	183	-0.19652846820159064	0.02183924583489521	136	2.9701374335457484					
26						71	0.15238412213649402	0.03785935082736378	186.0	7.0418392538896635																																																								79	0.1548691661837676	0.03107088860923637	194.0	6.027752390191856	48	0.1960445123005866	0.02217290054677718	136	3.0155144743616966					
27						39	-0.1518201314067804	0.03858374687863511	186.0	7.176576919426131																																																								16	-0.15464940289423926	0.03131344279095718	194.0	6.074807901445693	230	-0.19487734701322634	0.022995664777342432	136	3.127410409718571					
28						31	0.15090064997224154	0.039789776792169156	186.0	7.400898483343463																																																								67	0.1538595876116601	0.032198516627259074	194.0	6.24651222568826	1	0.19393553517921633	0.02367855587131679	136	3.2202835984990834					
29						80	0.15061167072168424	0.04017530521841947	186.0	7.4726067706260215																																																								86	0.15351852508014457	0.03258723940222243	194.0	6.321924444031152	93	-0.19348992769932066	0.024007674259472773	136	3.265043699288297					
30						70	0.15050958083667582	0.04031225275803087	186.0	7.498079012993741																																																								33	0.15351755846147086	0.03258834673879978	194.0	6.322139267327158	240	-0.1920038072631067	0.025133802330383835	136	3.4181971169322014					
31						18	0.15008738007001643	0.04088278665063907	186.0	7.6041983170188665																																																								225	0.15301489776875893	0.03316853188463939	194.0	6.434695185620042	89	-0.1919564009906096	0.025170456895734418	136	3.423182137819881					
32						67	0.15004061507679195	0.04094639719379352	186.0	7.616029878045595																																																								291	0.1500577123309691	0.03676225248598384	194.0	7.131876982280865	299	-0.19160023265568232	0.025447312467680554	136	3.4608344956045554					
33						105	-0.14984611496724604	0.04121185265393075	186.0	7.66540459363112																																																								216	0.14973098260513673	0.03717878141837836	194.0	7.212683595165402	49	0.1908101173196288	0.026070795335110933	136	3.5456281655750868					
34						132	-0.14936630673063034	0.0418728877256225	186.0	7.788357116965784																																																								145	0.14873986144726312	0.03846676865796041	194.0	7.462553119644319	86	-0.18715561505395348	0.029127179408467024	136	3.9612963995515154					
35						52	-0.1491152215652615	0.042222342385239225	186.0	7.853355683654496																																																								40	-0.1481051511371271	0.03931119733775305	194.0	7.626372283524091	256	0.18694782199801668	0.029309763317076198	136	3.986127811122363					
36						139	0.148780519418592	0.04269197570934307	186.0	7.940707481937811																																																								245	-0.14753511706098943	0.04008283760959462	194.0	7.776070496261356	2	0.18645787241715042	0.029744130890524377	136	4.0452018011113156					
37						185	-0.14861827897027846	0.04292119316569159	186.0	7.983341928818636																																																								52	0.1471695481138179	0.040584376994759946	194.0	7.873369136983429	215	0.1863254320724638	0.029862481972751077	136	4.061297548294147					
38						115	-0.1484504716436199	0.04315936027894716	186.0	8.027641011884171																																																								234	-0.14689877584932828	0.0409592543946017	194.0	7.94609535255273	62	0.18553791853879828	0.03057451566082388	136	4.158134129872048					
39						252	0.1482947971468638	0.04338129688488504	186.0	8.068921220588617																																																								189	0.14595442828178898	0.04228953683944348	194.0	8.204170146852036	164	-0.18520254871736916	0.03088209028309303	136	4.199964278500652					
40						143	0.1476350464064839	0.04433250961346448	186.0	8.245846788104393																																																								61	-0.14585746107486283	0.04242816261066514	194.0	8.231063546469038	154	-0.1845431356066043	0.031494515143392264	136	4.283254059501348					
41						201	-0.1472407969767262	0.04490921721776467	186.0	8.353114402504229																																																								174	0.14537183208273677	0.043128175109800736	194.0	8.366865971301342	173	-0.18408706591432678	0.03192408594063886	136	4.341675687926886					
42						130	-0.14705445385262061	0.045183975889569766	186.0	8.404219515459976																																																								256	-0.14168375039905265	0.04876671516767327	194.0	9.460742742528614	255	0.18401478923243494	0.03199261696238875	136	4.35099590688487					
43						98	-0.14678843590352847	0.0455786476523809	186.0	8.477628463342848																																																													209	0.18374298086955718	0.03225145634538646	136	4.386198062972559					
44						82	-0.1467027738120532	0.04570635000976857	186.0	8.501381101816953																																																													122	-0.1833910566719148	0.03258922279201811	136	4.4321342997144635					
45						264	0.14597737966231186	0.04679977685235499	186.0	8.704758494538028																																																													52	-0.1823706679210284	0.03358554191440138	136	4.567633700358587					
46						246	-0.14570713781607297	0.04721266992698741	186.0	8.781556606419658																																																													41	0.18146167923789686	0.0344946668525681	136	4.691274691949261					
47						275	-0.14532898661258623	0.04779553114872779	186.0	8.88996879366337																																																													258	-0.18134948037407256	0.034608310570472395	136	4.706730237584246					
48						42	-0.14524279109966834	0.0479292242407576	186.0	8.914835708780913																																																													125	0.18110318978246515	0.034858882059448454	136	4.7408079600849895					
49						294	-0.14515226401537115	0.04806997122862789	186.0	8.941014648524787																																																													203	-0.17974955038833612	0.03626355266819065	136	4.931843162873929					
50						235	-0.14515120089095118	0.04807162616536184	186.0	8.941322466757303																																																													276	-0.17974785722561984	0.03626533909641353	136	4.93208611711224					
51						149	-0.14492567372229898	0.04842377311722268	186.0	9.006821799803419																																																													160	0.1793642657813566	0.036671976357266975	136	4.987388784588308					
52						46	0.14472973770844674	0.048731457247282874	186.0	9.064051047994614																																																													121	-0.17918016623391414	0.036868496273523586	136	5.014115493199208					
53						217	0.14470834089350637	0.048765155679573194	186.0	9.070318956400614																																																													145	-0.17906281743577035	0.03699422428847432	136	5.0312145032325075					
54						101	0.1443255079301522	0.04937137668554043	186.0	9.183076063510521																																																													174	-0.17877439135977727	0.03730478005844712	136	5.0734500879488085					
55																																																																							68	-0.1784462726720669	0.03766073883858094	136	5.1218604820470075					
56																																																																							204	0.17722119629432145	0.03901511022821494	136	5.306054991037231					
57																																																																							31	-0.17685844636946074	0.03942390852812459	136	5.361651559824945					
58																																																																							214	-0.17669228813822688	0.03961235647561699	136	5.387280480683911					
59																																																																							13	-0.17569510145609213	0.040759262174956616	136	5.5432596557941					
60																																																																							55	0.1754207399750497	0.04107965438461824	136	5.586832996308081					
61																																																																							169	-0.17516865338218404	0.04137589163349761	136	5.627121262155676					
62																																																																							245	-0.175082281879697	0.04147780087560589	136	5.640980919082401					
63																																																																							277	-0.17449714929570978	0.0421737440618157	136	5.735629192406935					
64																																																																							217	0.17443379931339156	0.04224967372084754	136	5.745955626035266					
65																																																																							12	-0.17342971446446723	0.04346849369023129	136	5.911715141871456					
66																																																																							30	0.17339697860248166	0.04350871972415939	136	5.917185882485677					
67																																																																							168	0.17160568977340848	0.045757744214015066	136	6.2230532131060485					
68																																																																							80	-0.17087424983098912	0.04670353215959181	136	6.351680373704486					
69																																																																							185	-0.17072267596517987	0.04690154560727375	136	6.37861020258923					
70																																																																							189	-0.16927281435872088	0.04883114520428501	136	6.6410357477827615					
71																																																																							153	0.1691071447926678	0.04905576841974659	136	6.671584505085536					
72																																																																							172	0.16905733065189044	0.049123476392355626	136	6.680792789360365					
73																																																																							181	0.16897025751426192	0.04924201346426982	136	6.696913831140695					
