	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
9	9											77_природные_процессы-военные_процессы	-0.24097107163368345	0.020672067574228584	92.0	1.9018302168290295																169_потеря-приобретение	0.30142484902586303	0.03531478831919406	49.0	1.7304246276405089						117_живая_природа-неживая_природа	0.2555198910138737	0.04502411120881737	62.0	2.7914948949466765	160_победа-поражение	0.2397299264128127	0.015752987764099467	101	1.5910517641740465						190_погода-животное	-0.347780599348494	0.002758765587279297	72.0	0.19863112228410934						18_уменьшение-расширение	0.2608672113704381	0.02916922110610735	70.0	2.0418454774275148	194_контроль-бесконтрольность	0.21902458813279255	0.017665282358154368	117.0	2.066838035904061	295_прощение-мстительность	0.2643050059090332	0.0164185026702334	82.0	1.3463172189591393																					204_столкновение-мир	-0.3734930279079289	0.02278657191973291	37.0	0.8431031610301176
10	10											89_апатия-взбудораженность	0.2406190542945029	0.020863943045554587	92.0	1.9194827601910218																121_несовременность-актуальность	0.2954854787176913	0.03927642199431063	49.0	1.9245446777212207						62_жизнь-смерть	-0.2551995364489995	0.0453030855272594	62.0	2.8087913026900826	16_воля-неволя	0.2394839901719809	0.015863677615832704	101	1.602231439199103						249_порыв-покой	-0.3431881994806996	0.0031646165895185697	72.0	0.22785239444533703						5_польза-вред	0.2587069147949548	0.030580812152971117	70.0	2.140656850707978	94_проблема-решение_проблем	0.2189967650982141	0.01768006056119546	117.0	2.068567085659869	151_забытье-сознание	-0.2599283436513356	0.018358519533971725	82.0	1.5053986017856815																					251_недостаток-достоинство	0.3694657747406624	0.024415197051339176	37.0	0.9033622908995494
11	11											27_труд-фортуна	0.23872963151353915	0.021920101504093584	92.0	2.016649338376609																8_застой-работа	0.29337949640378685	0.040765956409172265	49.0	1.9975318640494408						114_церковь-мирская_жизнь	-0.2503335364222073	0.049717981515917914	62.0	3.0825148539869103	299_веселье-грусть	-0.23504378965827885	0.01798112181940579	101	1.816093303759985						72_недостаток-достоинство	-0.3413674516413275	0.003339726335786445	72.0	0.24046029617662404						105_сущность-внешность	-0.2558950144169413	0.032503696613210016	70.0	2.275258762924701	297_юмор-суровость	-0.21865609886944126	0.01786187418426514	117.0	2.0898392795590217	31_интеллект-культура	0.2581884753656261	0.01918271259877527	82.0	1.572982433099572																					287_вода-земля	0.3581487425631235	0.02951521456740318	37.0	1.0920629389939178
12	12											80_сон-бодрствование	0.2385156806877803	0.022042530390071462	92.0	2.0279127958865746																216_старость-смерть	0.2929635067074985	0.0410655904177478	49.0	2.0122139304696423											285_опасность-безопасность	-0.23480395612647464	0.018102124769471727	101	1.828314601716644						251_недостаток-достоинство	-0.3390108981234618	0.0035791586934817436	72.0	0.2576994259306856						64_человеческое_взаимодействие-механическое_взаимодействие	-0.2537482945690351	0.034038975100246366	70.0	2.382728257017245	200_природа-техника	-0.2184089722108944	0.017994775359037724	117.0	2.105388717007414	77_природные_процессы-военные_процессы	0.2569565662669634	0.0197852897757184	82.0	1.6223937616089086																					83_речь-текст	0.3487642206079362	0.034381351739974704	37.0	1.272110014379064
13	13											136_апатия-взбудораженность	0.2321256664627871	0.025978334354286196	92.0	2.3900067605943303																108_творчество-власть	-0.2923149696865513	0.04153632569580954	49.0	2.0352799590946677											241_нападение-оборона	-0.2347613743875049	0.01812368173257272	101	1.8304918549898443						236_умственный_труд-физический_труд	-0.33536535891078284	0.003979704775212603	72.0	0.2865387438153074						90_отдых-напряжение	0.25161967416233405	0.0356206872854729	70.0	2.493448109983103	102_фантастика-реальность	0.21833151657219585	0.018036605445548668	117.0	2.110282837129194	264_безопасность-опасность	0.2499166114824685	0.023548916822574786	82.0	1.931011179451132																					248_спор-согласие	0.3461077642733465	0.0358719358342652	37.0	1.3272616258678125
14	14											176_животное-человек	-0.2242028137325918	0.03167352227240953	92.0	2.9139640490616774																293_соблюдение_закона-правонарушение	-0.292294086362266	0.04155155684200317	49.0	2.036026285258155											91_здоровье-болезнь	-0.2338264403317987	0.018602601382148757	101	1.878862739597024						197_проблема-решение_проблем	-0.3351160417119886	0.004008499066552275	72.0	0.2886119327917639						276_начало-конец	0.2502772243528065	0.036649391509097656	70.0	2.565457405636836	145_высказывание-умалчивание	0.21201959437702145	0.021740286604271318	117.0	2.5436135326997444	230_отступление-наступление	0.2497683453194127	0.02363431966365536	82.0	1.9380142124197397																					227_иерархия-равенство	-0.3427970038286188	0.03780298461896725	37.0	1.3987104309017884
15	15											142_равенство-иерархия	0.22197126035916706	0.033455899631953404	92.0	3.0779427661397127																268_отдых-работа	0.2921765846815825	0.04163734141687458	49.0	2.0402297294268545											169_потеря-приобретение	-0.233754779903272	0.018639755209063143	101	1.8826152761153776						189_наука-религия	0.3346894790397277	0.0040581932068694615	72.0	0.2921899108946012						97_активность-пассивность	-0.24461781070977914	0.04126201667412553	70.0	2.8883411671887878	272_образование-невежество	-0.20849787053907126	0.0240776303796993	117.0	2.8170827544248183	113_скрытность-прозрачность	-0.2433145912346649	0.027615967619206327	82.0	2.2645093447749187																					157_отсутствие_чувств-чувства	-0.337604265795402	0.04100131073079216	37.0	1.51704849703931
16	16											5_польза-вред	0.219615734742897	0.03542807061857807	92.0	3.2593824969091822																63_мир-война	0.29086503835710426	0.04260474723310729	49.0	2.087632614422257											62_жизнь-смерть	0.2330090007192365	0.0190302299742781	101	1.922053227402088						146_разум-чувство	-0.32268608280767297	0.005700466135180085	72.0	0.4104335617329661						43_энергия-покой	0.2443470377010347	0.04149423888721631	70.0	2.9045967221051416	239_радость-недовольство	-0.20836714853316135	0.024168376587909976	117.0	2.827700060785467	281_домоседство-путешествие	0.2368876369565369	0.03213101330250176	82.0	2.634743090805144																									
17	17											182_светское_общество-религия	0.21804796581630892	0.03679402711799955	92.0	3.3850504948559585																180_потребление-вывод	-0.2900287384711355	0.04323115401296655	49.0	2.1183265466353607											102_фантастика-реальность	-0.23236521506438926	0.019372946551031937	101	1.9566676016542257						120_усталость-покой	0.3206881257363647	0.006024475221445206	72.0	0.4337622159440549						284_учеба-производство	0.2424506782777984	0.043151108991156005	70.0	3.020577629380921	6_холодное_отношение-тёплое_отношение	0.2077747661218376	0.024583280368584745	117.0	2.876243803124415	104_неподвижность-подвижность	-0.2320273572006969	0.035944150036493865	82.0	2.9474203029924957																									
18	18											52_близость-расстояние	-0.21765735463185504	0.03714113672356073	92.0	3.416984578567587																228_народ-власть	0.28977894854597464	0.043419705686555995	49.0	2.127565578641244											95_доброта-злость	-0.2316699194038801	0.019749036285616133	101	1.9946526648472287						54_реальность-когнитивные_процессы	-0.3167574372138432	0.006709607170788254	72.0	0.4830917162967543						40_уклад_жизни-дисциплина	-0.2416274000323997	0.04388724131573759	70.0	3.0721068921016315	155_поражение-победа	0.20739333621795256	0.024853644098148008	117.0	2.907876359483317	24_активность-пассивность	0.2286745817513087	0.038789495081673266	82.0	3.1807385966972084																									
19	19											222_религия-повседневность	0.21562558951376398	0.03899113459105892	92.0	3.5871843823774205																250_быт-война	-0.2881374007357365	0.04467560262354669	49.0	2.1891045285537882											125_разработка-разрушение	0.23055783298061974	0.020363620806562097	101	2.056725701462772						157_отсутствие_чувств-чувства	0.31252357484589866	0.007523360721341936	72.0	0.5416819719366194						162_история-одномоментное_происшествие	0.23721853095359124	0.0480079030057285	70.0	3.3605532104009948	16_воля-неволя	-0.2064555784277865	0.025529167581065604	117.0	2.986912606984676	132_правонарушение-соблюдение_закона	-0.22790846324346395	0.03946536162693835	82.0	3.2361596534089445																									
20	20											10_рутина-отдых	0.21070673503563053	0.04379056541892279	92.0	4.028732018540897																272_образование-невежество	-0.2873786573742924	0.04526603016346134	49.0	2.2180354780096057											136_апатия-взбудораженность	-0.22993695075596374	0.02071383920480289	101	2.0920977596850925						2_неживая_природа-живая_природа	-0.3118045159093125	0.007669844362946462	72.0	0.5522287941321453											109_убожество-роскошь	-0.2060655670644336	0.025814697612707216	117.0	3.0203196206867444	140_шум-тишина	0.2182439345196957	0.048866219438596696	82.0	4.007029993964929																									
21	21											33_абстрактная_работа-конкретная_работа	0.20662728879705555	0.048134049941267264	92.0	4.428332594596587																173_отдых-работа	0.2866953307081738	0.045803203230879434	49.0	2.244356958313092											184_правонарушение-соблюдение_закона	-0.22923274830163196	0.02111730188836361	101	2.1328474907247243						52_близость-расстояние	0.31059543289668184	0.007921796039576759	72.0	0.5703693148495266											71_изобилие-недостаток	0.20537688100696835	0.0263255464573175	117.0	3.0800889355061476	42_деструктивная_коммуникация-конструктивная_коммуникация	-0.2181991438565696	0.04891374250269323	82.0	4.0109268852208455																									
22	22											197_проблема-решение_проблем	-0.2058346546114449	0.04901797247117769	92.0	4.509653467348347																22_деятельность_наверху-деятельность_в_земле	-0.28523870755281616	0.04696562552254868	49.0	2.3013156506048853											265_радость-недовольство	0.22872201772784095	0.0214141189020335	101	2.1628260091053835						145_высказывание-умалчивание	-0.3096391925657255	0.008126166126058675	72.0	0.5850839610762246											223_бытовые_ситуации-глобальные_происшествия	-0.20513704844188613	0.026505460059841196	117.0	3.1011388270014195																														
23	23																															198_обучение-достижение	-0.28515084557525433	0.04703650249176527	49.0	2.304788622096498											79_многообразие-единство	-0.2286955578231028	0.021429593366009983	101	2.1643889299670085						219_соблюдение_закона-правонарушение	0.3013085476928945	0.010110854199861746	72.0	0.7279815023900457											17_полемика-консенсус	0.20498330826676667	0.02662134080558649	117.0	3.1146968742536187																														
24	24																															240_осторожность-риск	0.2837148997655344	0.0482072481933769	49.0	2.362155161475468											145_высказывание-умалчивание	-0.2283434600775628	0.021636424050152574	101	2.1852788290654104						75_действующее_лицо-зритель	0.29148240784985874	0.012983397572915651	72.0	0.934804625249927											227_иерархия-равенство	0.20490266733556747	0.02668229590176148	117.0	3.121828620506093																														
25	25																															155_поражение-победа	0.2829257907336467	0.04886063613129279	49.0	2.3941711704333466											66_курируемый-куратор	0.22757051354034355	0.022096480034437156	101	2.231744483478153						206_расслабление-напряжение	0.2907954848739061	0.013208307529725093	72.0	0.9509981421402068											238_дистанция-близость	0.204641637969492	0.02688041989751693	117.0	3.1450091280094816																														
26	26																															266_мир-война	0.2827174659961045	0.04903432533585513	49.0	2.4026819414569016											269_власть-беспорядок	0.22749964140277865	0.02213907923525886	101	2.2360470027611448						285_опасность-безопасность	0.2900559926274408	0.013454188569356255	72.0	0.9687015769936506											82_суматоха-спокойствие	0.2041358580842808	0.027267881137062626	117.0	3.1903420930363278																														
27	27																															2_неживая_природа-живая_природа	-0.281918440772211	0.049705161900312725	49.0	2.435552933115324											38_личное-общее	-0.2268475154902073	0.022534365438203263	101	2.27597090925853						246_чистота-беспорядок	0.28971936685055993	0.013567420850716064	72.0	0.9768543012515568											15_древняя_работа-современная_работа	-0.2030097331538538	0.028147681419638224	117.0	3.2932787260976726																														
28	28																															270_древность-современность	-0.28184545168472114	0.04976681064679541	49.0	2.438573721692975											200_природа-техника	0.2262043742474146	0.022930106636130657	101	2.3159407702491963						204_столкновение-мир	0.2871624475828247	0.014454709893968656	72.0	1.0407391123657432											288_радость-недовольство	0.2015214364244677	0.029347377033483293	117.0	3.433643112917545																														
29	29																																														230_отступление-наступление	-0.2245857309360148	0.023952497101836338	101	2.41920220728547						244_смерть-жизнь	-0.2866995029019621	0.014620600067391234	72.0	1.0526832048521688											169_потеря-приобретение	0.20088660308659947	0.02987216316867058	117.0	3.495043090734458																														
30	30																																														116_смерть-жизнь	-0.22376692913155535	0.02448434130045484	101	2.4729184713459387						66_курируемый-куратор	-0.28473444332413905	0.015343158610552445	72.0	1.1047074199597757											295_прощение-мстительность	0.20069979881210606	0.03002809310351338	117.0	3.513286893111065																														
31	31																																														228_народ-власть	-0.22308998346855333	0.02493162245169121	101	2.518093867620812						36_спокойствие-деятельность	0.28459785612613075	0.015394505738546163	72.0	1.108404413175324											150_безопасность-опасность	-0.19746121288223367	0.032843119326175445	117.0	3.8426449611625264																														
32	32																																														158_конец-начало	0.2225323483274951	0.025305286979969036	101	2.5558339849768723						268_отдых-работа	0.2840602396446614	0.01559805154611008	72.0	1.123059711319926											279_соблюдение_закона-правонарушение	0.19543171098432172	0.03471842274820253	117.0	4.062055461539696																														
