	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	я_PRON.5	я_PRON.6	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	свой_DET.5	свой_DET.6	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	они_PRON.5	они_PRON.6	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	хотеть_VERB.5	хотеть_VERB.6	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	время_NOUN.5	время_NOUN.6	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	очень_ADV.5	очень_ADV.6	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	она_PRON.5	она_PRON.6	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мочь_VERB.5	мочь_VERB.6	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мой_DET.5	мой_DET.6	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	жизнь_NOUN.5	жизнь_NOUN.6	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	потом_ADV.5	потом_ADV.6	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	еще_ADV.5	еще_ADV.6	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	день_NOUN.5	день_NOUN.6	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	жить_VERB.5	жить_VERB.6
9	9																																				115_наследство-собственность	3.4098316126718182	0.009571159980290357	2	10	12	0.11485391976348427																																											124_сражение-тыл	3.2297202306997126	0.014026015415342504	2.0	14.0	16.0	0.22441624664548004							
10	10																																				47_журналистика-литература	3.2606695880833527	0.00982799106766942	2	10	12	0.11793589281203305																																											30_стихийное_собрание-мероприятия	2.8090861584472098	0.014522318139514006	2.0	14.0	16.0	0.2323570902322241							
11	11																																				153_прерывание-продолжение	-3.1170206050694103	0.010943949411628478	2	10	12	0.13132739293954174																																											11_приобретение-постоянное_местонахождение	-2.7236361777700195	0.019816139525837453	2.0	14.0	16.0	0.31705823241339925							
12	12																																				45_наука-быт	-3.1400426719083367	0.011890165113960814	2	10	12	0.14268198136752974																																											261_болезнь-здоровье	2.6630756086642218	0.020322452225501348	2.0	14.0	16.0	0.3251592356080216							
13	13																																				203_концепция-хаотичность	3.045257227672532	0.012676944396197015	2	10	12	0.15212333275436418																																											46_идея-реализация	2.5838337602843597	0.022035450707981	2.0	14.0	16.0	0.35256721132769603							
14	14																																				254_свобода-неволя	-2.9244099443611336	0.015236708204788006	2	10	12	0.18284049845745606																																											28_неисправность-отлаженность	-2.538468315221482	0.025127448343415442	2.0	14.0	16.0	0.4020391734946471							
15	15																																				79_многообразие-единство	2.918204741341812	0.015680718608550515	2	10	12	0.1881686233026062																																											288_радость-недовольство	-2.5179984504222417	0.02569942882106608	2.0	14.0	16.0	0.4111908611370573							
16	16																																				277_неживая_природа-живая_природа	-2.9489684825802214	0.015920590755340892	2	10	12	0.1910470890640907																																											278_физический_труд-умственный_труд	2.511532765119256	0.025806967649268063	2.0	14.0	16.0	0.41291148238828895							
17	17																																				223_бытовые_ситуации-глобальные_происшествия	-2.871122797291988	0.01672222238963906	2	10	12	0.2006666686756687																																											154_знание-сомнение	-3.257692249473505	0.02665494786790796	2.0	14.0	16.0	0.4264791658865273							
18	18																																				50_проблема-взаимовыручка	-2.837963146101936	0.017645561615271768	2	10	12	0.2117467393832612																																											231_злость-радость	-2.39154143347932	0.032208579658244814	2.0	14.0	16.0	0.5153372745319169							
19	19																																				100_труд-отдых	-2.829027359283559	0.019216953599354592	2	10	12	0.2306034431922551																																											280_радость-недовольство	-2.58206572513684	0.032782103200148585	2.0	14.0	16.0	0.5245136512023775							
20	20																																				98_разрушение-поддержание	-2.796964838709116	0.020755771769786886	2	10	12	0.24906926123744266																																											290_статистика-отсутствие_системы	-2.721753450258712	0.03476890693123804	2.0	14.0	16.0	0.5563025108998086							
21	21																																				66_курируемый-куратор	-2.744191974935676	0.02259808238658166	2	10	12	0.27117698863897993																																											60_восстание-смирение	2.4357885083275463	0.03601302629081947	2.0	14.0	16.0	0.5762084206531115							
22	22																																				63_мир-война	2.6963463137110013	0.02422135237737013	2	10	12	0.29065622852844153																																											88_лишение-наделение	-2.4008057234086566	0.03605333448785882	2.0	14.0	16.0	0.5768533518057412							
23	23																																				149_нищета-состояние	-2.663562379716944	0.025237737928135853	2	10	12	0.3028528551376302																																											32_разруха-реализация	-2.3139401032373943	0.037325348800095186	2.0	14.0	16.0	0.5972055808015231							
24	24																																				25_скрытность-прозрачность	-2.612355308512602	0.02760297954370976	2	10	12	0.3312357545245171																																											9_трудности-отсутствие_проблем	-4.142308115006167	0.04166338721762741	2.0	14.0	16.0	0.6666141954820386							
25	25																																				240_осторожность-риск	-2.592374069238611	0.029127552089306688	2	10	12	0.34953062507168026																																											55_армия-гражданская_жизнь	-2.2005942188262364	0.04627538897778717	2.0	14.0	16.0	0.7404062236445946							
26	26																																				292_экстрим-повседневность	-2.7629576215022467	0.030001380665325813	2	10	12	0.3600165679839097																																											247_радостное_событие_грустное_событие	2.8480905492383206	0.046818931680144935	2.0	14.0	16.0	0.7491029068823192							
27	27																																				85_направление-дезориентация	-2.5272448253853192	0.030757405369009106	2	10	12	0.3690888644281093																																											173_отдых-работа	-2.204420357053773	0.0486771713970183	2.0	14.0	16.0	0.7788347423522928							
28	28																																				52_близость-расстояние	2.9087239788680215	0.031109537776856645	2	10	12	0.37331445332227975																																																								
29	29																																				229_закрытие-открытие	2.5002694811112938	0.031437775949406936	2	10	12	0.3772533113928833																																																								
30	30																																				239_радость-недовольство	-2.8175463354100807	0.031647272225410805	2	10	12	0.3797672667049297																																																								
31	31																																				235_процесс-итог	-2.6245318133724065	0.03281961566751488	2	10	12	0.3938353880101786																																																								
32	32																																				174_праздник-быт	2.5049477859621194	0.03382737374309753	2	10	12	0.4059284849171704																																																								
33	33																																				19_быстрое_явление-длительное_явление	2.4566146422445314	0.03399276491279464	2	10	12	0.4079131789535357																																																								
34	34																																				90_отдых-напряжение	2.479095105494745	0.034685713643944606	2	10	12	0.4162285637273353																																																								
35	35																																				88_лишение-наделение	2.4522451453020064	0.036621583098937885	2	10	12	0.4394589971872546																																																								
36	36																																				275_жизненный_процесс-кончина	2.439786914702501	0.037123348358811536	2	10	12	0.4454801803057384																																																								
37	37																																				243_проблема-решение_проблем	-2.4164623031693364	0.03855243980768883	2	10	12	0.46262927769226597																																																								
38	38																																				123_отдых-работа	2.3961488895153056	0.03975529271487102	2	10	12	0.4770635125784522																																																								
39	39																																				159_реальная_жизнь-выдуманная_жизнь	2.4390019341814995	0.04001329309308757	2	10	12	0.4801595171170507																																																								
40	40																																				84_последовательность-разлад	-3.5367745522259835	0.04077026267353201	2	10	12	0.4892431520823841																																																								
41	41																																				206_расслабление-напряжение	3.2230258442027937	0.043345889214481605	2	10	12	0.5201506705737793																																																								
42	42																																				3_спокойствие-суматоха	2.295434690203877	0.044685960809046736	2	10	12	0.5362315297085609																																																								
