	Unnamed: 0	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4
13	13						22_деятельность_наверху-деятельность_в_земле	0.1561206639400765	0.010335776897319788	269.0	2.780323985379023	210_спешка-неторопливость	-0.18014715556695973	0.001794221667953596	298	0.5346780570501716																																								
14	14						96_наука-быт	-0.15601602272770768	0.0103877192233567	269.0	2.7942964710829528	292_экстрим-повседневность	-0.17882715600242266	0.001941226153607668	298	0.578485393775085																																								
15	15						200_природа-техника	0.15209318008247452	0.012509247351889756	269.0	3.364987537658344	180_потребление-вывод	-0.1786560581841025	0.001961065841206916	298	0.5843976206796611																																								
16	16						297_юмор-суровость	0.1517008323573853	0.012741099805565391	269.0	3.42735584769709	38_личное-общее	0.17787320347427105	0.002054225513414275	298	0.612159202997454																																								
17	17						192_производство-наука	0.1512028639688856	0.013040807784729366	269.0	3.5079772940921994	154_знание-сомнение	0.1775982333095892	0.002087893813885283	298	0.6221923565378144																																								
18	18						5_польза-вред	-0.14966297248390606	0.014007198517365031	269.0	3.7679364011711938	216_старость-смерть	0.1774091959563315	0.0021113314809502425	298	0.6291767813231722																																								
19	19						46_идея-реализация	0.14811119227885552	0.015044077018522287	269.0	4.046856717982496	158_конец-начало	-0.17633588770932335	0.0022490160533681185	298	0.6702067839036993																																								
20	20						215_творчество-власть	-0.14802738071589064	0.015101944256025318	269.0	4.062423004870811	254_свобода-неволя	-0.17597239076268295	0.0022974696619872197	298	0.6846459592721916																																								
21	21						77_природные_процессы-военные_процессы	-0.14716014975560113	0.015712256984802858	269.0	4.22659712891197	155_поражение-победа	0.1758840629495912	0.002309386401807792	298	0.6881971477387221																																								
22	22						239_радость-недовольство	0.14679839381634965	0.01597315195280347	269.0	4.296777875304134	41_развлечение-когнитивная-способность	-0.1748026903272653	0.002459915731657647	298	0.7330548880339789																																								
23	23						33_абстрактная_работа-конкретная_работа	0.146521787739231	0.016175185058607856	269.0	4.351124780765513	4_праздник-быт	-0.17442243694972984	0.0025149350946695537	298	0.7494506582115271																																								
24	24						7_чужбина-родной_дом	0.14442425843280934	0.017781232307914768	269.0	4.7831514908290735	22_деятельность_наверху-деятельность_в_земле	-0.1730818566180972	0.002717957061672185	298	0.8099512043783109																																								
25	25						36_спокойствие-деятельность	-0.14441298440081413	0.017790227181366323	269.0	4.785571111787541	2_неживая_природа-живая_природа	-0.17240680506728875	0.002825730280501648	298	0.8420676235894912																																								
26	26						85_направление-дезориентация	0.14249306222664165	0.019381024697843405	269.0	5.213495643719876	105_сущность-внешность	0.17140342990225635	0.002993105473717362	298	0.8919454311677739																																								
27	27						84_последовательность-разлад	0.14155396986517493	0.020203169970249242	269.0	5.434652721997045	293_соблюдение_закона-правонарушение	-0.17056292993652625	0.003140182500496739	298	0.9357743851480282																																								
28	28						16_воля-неволя	0.13917776489231082	0.02241987500238053	269.0	6.0309463756403625	171_работа-отдых	-0.16857036438939432	0.003515390804408937	298	1.047586459713863																																								
29	29						271_бюрократия-творчество	0.13892546001463751	0.02266715268492484	269.0	6.09746407224478	109_убожество-роскошь	-0.16803793207591694	0.0036222967676982046	298	1.0794444367740652																																								
30	30						19_быстрое_явление-длительное_явление	-0.13852995285536265	0.02305952181578266	269.0	6.203011368445536	125_разработка-разрушение	-0.1676978569366068	0.0036921104300703493	298	1.100248908160964																																								
31	31						4_праздник-быт	0.13810939270346828	0.0234831660529268	269.0	6.316971668237311	31_интеллект-культура	0.1670175371582574	0.0038354371513114353	298	1.1429602710908078																																								
32	32						126_путешествие-конец_движения	-0.1375455328676008	0.02406168909700648	269.0	6.472594367094742	59_увядание-расцвет	0.1660795310993548	0.004041300828555453	298	1.2043076469095249																																								
33	33						62_жизнь-смерть	0.13682157251853078	0.02482246140869988	269.0	6.677242118940268	294_испытание-безмятежность	0.16595102728460656	0.004070267534343982	298	1.2129397252345069																																								
34	34						21_получение_результата-разработка	0.13537249799880102	0.026407618208149526	269.0	7.103649297992222	100_труд-отдых	-0.16593927490177066	0.004072926034438268	298	1.213731958262604																																								
35	35						178_мыслительная_работа-физическая_работа	0.13502785511591006	0.02679717988552901	269.0	7.2084413892073025	152_исчезнование-появление	0.16489797975338122	0.004314795036186639	298	1.2858089207836183																																								
36	36						67_неизменность-изменение	-0.134872916376136	0.02697391401575358	269.0	7.2559828702377125	265_радость-недовольство	-0.1640917110214169	0.004510891491519589	298	1.3442456644728376																																								
37	37						38_личное-общее	-0.13417053311216234	0.02778770582076841	269.0	7.474892865786701	220_власть-наука	-0.1633306441309344	0.004703326658217021	298	1.4015913441486718																																								
38	38						20_покой-беспокойство	0.1332684525391642	0.028863675654480708	269.0	7.7643287510553085	134_физическое-абстрактное	-0.16275987535749914	0.004852463285968404	298	1.4460340592185843																																								
39	39						191_техническое_взаимодействие-животные_взаимоотношения	-0.13291680938680206	0.029292661554962313	269.0	7.879725958284862	153_прерывание-продолжение	-0.16273440110513174	0.004859217624417388	298	1.4480468520763816																																								
40	40						269_власть-беспорядок	0.13197261062056448	0.03047161333560645	269.0	8.196863987278132	111_нежелание-желание	0.16129883202086767	0.005253801332207535	298	1.5656327969978452																																								
41	41						81_религия-наука	-0.12959966201849085	0.03361479162153614	269.0	9.042378946193221	47_журналистика-литература	0.16047507136644698	0.005493008744905503	298	1.6369166059818403																																								
42	42						186_движение-неподвижность	-0.1292549128649692	0.03409362570960056	269.0	9.171185315882553	282_путешествие-домоседство	-0.16046785526095794	0.005495146714157718	298	1.6375537208189996																																								
43	43						144_физический_труд-искусство	-0.12920230668254945	0.03416719966544258	269.0	9.190976710004056	45_наука-быт	-0.15778039754878528	0.006345325776892794	298	1.8909070815140523																																								
44	44						181_дополнение-устранение	0.12525800896192227	0.040081382629250345	269.0	10.781891927268344	255_голод-неопределенная_тема	-0.1574605252115324	0.006453987841329086	298	1.923288376716068																																								
45	45						76_мир-война	-0.12525637725445782	0.04008399746792218	269.0	10.782595318871069	58_формирование-перестройка	0.15744456708352705	0.0064594522496324285	298	1.924916770390464																																								
46	46						9_трудности-отсутствие_проблем	-0.1249923985720184	0.04050892655017685	269.0	10.896901241997574	14_изобилие-недостаток	-0.15710835031400616	0.006575546957742343	298	1.9595129934072184																																								
47	47						160_победа-поражение	0.12469450645572325	0.040993000865542084	269.0	11.027117232830822	90_отдых-напряжение	0.15673488737048558	0.00670668818433079	298	1.9985930789305757																																								
48	48						142_равенство-иерархия	0.12431693208098928	0.041613553827994594	269.0	11.194045979730546	44_упорядоченность-однородная_масса	0.15662343124078024	0.006746276573081138	298	2.010390418778179																																								
49	49						175_нематериальное-материальное	-0.12286076486017228	0.04408136174235365	269.0	11.857886308693132	275_жизненный_процесс-кончина	0.1558621610417841	0.007022307872989701	298	2.0926477461509307																																								
50	50						232_проблема-решение_проблем	-0.1220413109425622	0.04552334252063718	269.0	12.245779138051402	145_высказывание-умалчивание	0.1550305580840272	0.0073353347165893215	298	2.1859297455436177																																								
51	51						129_успех-беда	-0.12040043015580068	0.048529762063330865	269.0	13.054505995036	26_ненависть-дружба	-0.15476302607661505	0.007438653025128065	298	2.2167186014881635																																								
52	52						57_улица-дом	0.11988255603682695	0.04951235851159386	269.0	13.31882443961875	198_обучение-достижение	-0.15464086442100552	0.007486261062056262	298	2.2309057964927663																																								
53	53											102_фантастика-реальность	0.1545070420788527	0.00753872527341982	298	2.2465401314791067																																								
54	54											192_производство-наука	-0.1539460731969972	0.0077622363594811155	298	2.3131464351253723																																								
55	55											48_отдаление-приближение	-0.15291030517720805	0.008190497306593141	298	2.440768197364756																																								
56	56											169_потеря-приобретение	0.15270830065159274	0.008276430943225702	298	2.466376421081259																																								
57	57											19_быстрое_явление-длительное_явление	0.15254363056779496	0.008347075171059447	298	2.4874284009757157																																								
58	58											78_популярность-безвестность	0.15246723781485105	0.008380029870036866	298	2.4972489012709858																																								
59	59											119_окончание-процесс	-0.15126542359919412	0.00891393225970122	298	2.6563518133909634																																								
60	60											181_дополнение-устранение	-0.15112733250804666	0.00897717508428602	298	2.6751981751172327																																								
61	61											94_проблема-решение_проблем	-0.15073808689890894	0.009157592305630858	298	2.728962507077996																																								
62	62											17_полемика-консенсус	0.15065772188641147	0.009195240440020241	298	2.7401816511260315																																								
63	63											151_забытье-сознание	0.15046727904708435	0.009285005368903577	298	2.7669315999332658																																								
64	64											288_радость-недовольство	0.15021806653201766	0.009403645994616305	298	2.8022865063956583																																								
65	65											173_отдых-работа	0.15005324748827176	0.009482847374455105	298	2.8258885175876207																																								
66	66											140_шум-тишина	-0.1500408903250519	0.009488809211912015	298	2.8276651451497807																																								
67	67											53_подчинение-неповиновение	0.14990934663135158	0.009552480225752379	298	2.8466391072742088																																								
68	68											208_неживая_природа-живая_природа	-0.14919772903532869	0.00990353920088584	298	2.9512546818639795																																								
69	69											276_начало-конец	-0.1484576381822562	0.010280730013983441	298	3.0636575441670653																																								
70	70											148_усталость-бодрость	-0.14836352279279152	0.010329596825624236	298	3.0782198540360226																																								
71	71											62_жизнь-смерть	-0.147881079822914	0.010583335223070568	298	3.153833896475029																																								
72	72											213_обозрение-сокрытие	0.14726624361410456	0.010914689352724006	298	3.252577427111754																																								
73	73											291_работа-санкция	0.14725893075528154	0.010918685064731109	298	3.2537681492898702																																								
74	74											267_неволя-свобода	0.1471905684241457	0.010956100527310485	298	3.2649179571385245																																								
75	75											57_улица-дом	0.146794079085851	0.011175346969778859	298	3.3302533969941																																								
76	76											37_низ-верх	-0.14666442021688095	0.01124788084849012	298	3.3518684928500564																																								
77	77											63_мир-война	0.1461901706189703	0.011516741380951524	298	3.431988931523554																																								
78	78											219_соблюдение_закона-правонарушение	-0.1461129435893838	0.011561055898813172	298	3.4451946578463253																																								
79	79											70_единство-разрозренность	-0.1458807374172198	0.011695208904880213	298	3.485172253654303																																								
80	80											271_бюрократия-творчество	-0.1458755275922379	0.011698234482606932	298	3.4860738758168663																																								
81	81											280_радость-недовольство	0.14575774293893418	0.011766821890884231	298	3.5065129234835015																																								
82	82											56_протест-мир	-0.14556839861432472	0.011877823230653376	298	3.539591322734706																																								
83	83											50_проблема-взаимовыручка	-0.14534799751457414	0.012008193975266252	298	3.5784418046293434																																								
84	84											91_здоровье-болезнь	0.14513284031359955	0.012136678583078613	298	3.6167302177574263																																								
85	85											25_скрытность-прозрачность	-0.14495939244797054	0.012241136669344016	298	3.647858727464517																																								
86	86											101_фиксация-пересмотр	-0.14489314959553873	0.012281239740640468	298	3.65980944271086																																								
87	87											150_безопасность-опасность	-0.1447027627236352	0.01239714436090868	298	3.694349019550786																																								
88	88											170_спокойствие-суматоха	0.1437238801816325	0.013008420502695616	298	3.8765093098032937																																								
89	89											80_сон-бодрствование	0.14303501947216682	0.013454341378558856	298	4.0093937308105385																																								
90	90											159_реальная_жизнь-выдуманная_жизнь	0.142905739553197	0.013539509957088641	298	4.034773967212415																																								
91	91											247_радостное_событие_грустное_событие	-0.14265488742961907	0.013706122216066121	298	4.084424420387704																																								
92	92											260_быт-искусство	0.1426456922363284	0.013712263609024366	298	4.086254555489261																																								
93	93											95_доброта-злость	0.14248472982222946	0.013820161393906094	298	4.118408095384016																																								
94	94											287_вода-земля	-0.1424459498395337	0.01384626797476839	298	4.12618785648098																																								
95	95											117_живая_природа-неживая_природа	-0.14197729809160076	0.014165205047076284	298	4.221231104028733																																								
96	96											203_концепция-хаотичность	0.14176227660414678	0.014313682028633343	298	4.265477244532737																																								
97	97											253_соблюдение_закона-правонарушение	0.14166933705295687	0.014378280427232003	298	4.284727567315136																																								
98	98											256_фильм-жизнь	-0.1411486080530907	0.01474497076846324	298	4.394001289002045																																								
99	99											10_рутина-отдых	0.14082975475523885	0.014973528685628634	298	4.462111548317333																																								
100	100											28_неисправность-отлаженность	-0.14079527374210446	0.014998430180147768	298	4.469532193684035																																								
101	101											200_природа-техника	-0.1406712674016645	0.015088285295460246	298	4.496309018047153																																								
102	102											251_недостаток-достоинство	-0.1404318463834629	0.015263105363978381	298	4.548405398465556																																								
103	103											1_иерархия-равенство	-0.14005621802735893	0.015540957173535316	298	4.631205237713525																																								
104	104											122_неопределенная_тема-здоровье	0.13999295753466862	0.015588184017204815	298	4.645278837127036																																								
105	105											29_негативные_чувства-духовные_чувства	-0.13965471493437634	0.015842835243468013	298	4.7211649025534665																																								
106	106											114_церковь-мирская_жизнь	0.1392921714623941	0.016119816256499647	298	4.803705244436895																																								
107	107											174_праздник-быт	0.1390672156841777	0.016293802168293126	298	4.855553046151352																																								
108	108											82_суматоха-спокойствие	0.13894198697277269	0.016391366451956695	298	4.884627202683094																																								
109	109											49_развитие-откат	-0.13893598698855505	0.016396053763941994	298	4.8860240216547135																																								
110	110											54_реальность-когнитивные_процессы	-0.13857423927518855	0.01668083197969521	298	4.970887929949171																																								
111	111											42_деструктивная_коммуникация-конструктивная_коммуникация	-0.13841010138704848	0.016811464819670958	298	5.009816516261945																																								
112	112											168_работа-праздность	-0.13823740626315986	0.016949871836571696	298	5.051061807298367																																								
113	113											66_курируемый-куратор	-0.13804435613486093	0.017105769234550476	298	5.097519231896042																																								
114	114											110_негативные_эмоции-положительные_эмоции	0.13765926993212588	0.01742048732443775	298	5.191305222682449																																								
115	115											108_творчество-власть	-0.1374771430886702	0.017571084870439804	298	5.236183291391062																																								
116	116											115_наследство-собственность	0.13695260640000473	0.01801117681258318	298	5.367330690149788																																								
117	117											76_мир-война	0.1363141796419437	0.018559759382977103	298	5.5308082961271765																																								
118	118											84_последовательность-разлад	0.13619036857126554	0.01866781473470449	298	5.563008790941939																																								
119	119											234_холодное_отношение-тёплое_отношение	-0.13615504940452547	0.018698739531838482	298	5.572224380487866																																								
120	120											137_вертикальные_отношения-горизонтальные_отношения	-0.13541904211791225	0.01935339649685849	298	5.767312156063831																																								
121	121											127_начало-конец	0.1354113632412263	0.019360330353498458	298	5.769378445342541																																								
122	122											79_многообразие-единство	0.13533643643025906	0.0194281010431344	298	5.7895741108540495																																								
123	123											228_народ-власть	0.1346127374375596	0.020093366848925626	298	5.987823320979836																																								
124	124											190_погода-животное	0.13413272792903025	0.020545452093573998	298	6.122544723885052																																								
125	125											6_холодное_отношение-тёплое_отношение	0.1340577984902879	0.020616813032781612	298	6.1438102837689215																																								
126	126											232_проблема-решение_проблем	-0.13395120689014586	0.02071869869245468	298	6.174172210351495																																								
127	127											12_частное-общее	0.1338821032417867	0.020784984559678144	298	6.193925398784088																																								
128	128											262_серьезность-шутка	-0.1336427021775131	0.02101604806992147	298	6.262782324836597																																								
129	129											189_наука-религия	0.13344304399421594	0.021210452621219518	298	6.3207148811234175																																								
130	130											207_фантастика-реальность	-0.13323518572265924	0.02141449542770545	298	6.381519637456224																																								
131	131											126_путешествие-конец_движения	0.1327322936264148	0.02191520387506545	298	6.530730754769504																																								
132	132											185_беда-счастье	0.13249119004018348	0.022158833496944863	298	6.603332382089568																																								
133	133											193_порядок-беспорядок	-0.13195746573569594	0.0227064993190668	298	6.766536797081907																																								
134	134											252_современность-древность	0.13141231277347715	0.02327793443857129	298	6.936824462694245																																								
135	135											55_армия-гражданская_жизнь	0.1312562866080611	0.023443751942170132	298	6.986238078766697																																								
136	136											206_расслабление-напряжение	0.13092817001888302	0.02379578998779365	298	7.091145416362507																																								
137	137											264_безопасность-опасность	0.13053338723916966	0.024225393359448413	298	7.219167221115629																																								
138	138											199_уют-неуют	-0.13041822698994124	0.024351964460121063	298	7.256885409116077																																								
139	139											186_движение-неподвижность	0.1298196475532818	0.025019079836914614	298	7.455685791400554																																								
140	140											27_труд-фортуна	0.12947675331379702	0.02540828148347197	298	7.571667882074647																																								
141	141											99_благоразумие-безолаберность	0.12946771128846973	0.02541861476651666	298	7.574747200421964																																								
142	142											93_учёба-отдых	0.12902817740732012	0.02592529821859449	298	7.725738869141159																																								
143	143											259_процесс-итог	-0.12892126605478604	0.02604984852324977	298	7.7628548599284315																																								
144	144											89_апатия-взбудораженность	0.12876536263133775	0.026232396210877508	298	7.817254070841497																																								
145	145											65_серьёзность-веселье	0.12844295236748896	0.02661339902482365	298	7.930792909397447																																								
146	146											243_проблема-решение_проблем	-0.12838487510989158	0.02668253391918374	298	7.951395107916754																																								
147	147											197_проблема-решение_проблем	-0.12833557304575074	0.026741343916428267	298	7.968920487095626																																								
148	148											8_застой-работа	0.1278560737771447	0.02731914723543606	298	8.141105876159948																																								
149	149											156_физический_труд-умственный_труд	-0.12740943866335575	0.027866957267345345	298	8.304353265668912																																								
150	150											72_недостаток-достоинство	-0.1271522435683599	0.028186669069673095	298	8.399627382762583																																								
151	151											274_единство-разрозренность	-0.1268488262475599	0.02856787709646788	298	8.51322737474743																																								
152	152											217_завоевание-бегство	0.12629260205353265	0.029278186701044512	298	8.724899636911264																																								
153	153											34_духовное_наслаждение-физическое_наслаждение	0.12612675216645092	0.029492884802217977	298	8.788879671060958																																								
154	154											277_неживая_природа-живая_природа	0.12557344018665562	0.030218937873808374	298	9.005243486394896																																								
155	155											73_наука-физический_труд	-0.1253317991142562	0.030540780297605086	298	9.101152528686317																																								
156	156											202_отставание-лидерство	0.12500025430947598	0.03098712908335364	298	9.234164466839383																																								
157	157											36_спокойствие-деятельность	-0.12497623511394855	0.031019680715183382	298	9.243864853124649																																								
158	158											30_стихийное_собрание-мероприятия	-0.12470913040713473	0.031383642410571844	298	9.352325438350409																																								
159	159											178_мыслительная_работа-физическая_работа	0.12458568329894605	0.031553081431985014	298	9.402818266731538																																								
160	160											147_рассудительность-беспокойство	0.1243972271352668	0.031813254785661584	298	9.480349926127152																																								
161	161											164_устранение-дополнение	0.12337078332112655	0.033262661112298315	298	9.912273011464896																																								
162	162											106_кончина-вечное_искусство	0.12320623989472294	0.033500158223818535	298	9.983047150697926																																								
163	163											195_болезнь-работа	0.1228405830851983	0.034033108060378174	298	10.141866201992695																																								
164	164											239_радость-недовольство	-0.1227737271797307	0.03413132717810352	298	10.171135499074847																																								
165	165											32_разруха-реализация	0.12261016699493067	0.034372632854820784	298	10.243044590736591																																								
166	166											283_героизм-малодушие	-0.12196855118529935	0.03533328131575683	298	10.529317832095538																																								
167	167											7_чужбина-родной_дом	0.12164066663578893	0.03583293942871473	298	10.678215949756991																																								
168	168											188_страх-надёжность	-0.12099528109006065	0.03683396066693393	298	10.976520278746312																																								
169	169											246_чистота-беспорядок	-0.12072333384777162	0.03726280473705038	298	11.104315811641014																																								
170	170											136_апатия-взбудораженность	0.12035329349486168	0.03785312129124409	298	11.28023014479074																																								
171	171											124_сражение-тыл	-0.1202896574573085	0.03795543173804703	298	11.310718657938015																																								
172	172											16_воля-неволя	-0.11969781208490897	0.038918225083054266	298	11.597631074750176																																								
173	173											123_отдых-работа	-0.11901240672197615	0.040058933152457496	298	11.937562079432334																																								
174	174											245_любовь-ненависть	0.11900243557359988	0.04007573399918342	298	11.942568731756658																																								
175	175											270_древность-современность	0.11884344484968687	0.04034442918174298	298	12.02263989615941																																								
176	176											163_человек-инструмент	0.11867019406687886	0.04063895282760932	298	12.110407942627578																																								
177	177											92_жизнь-смерть	-0.11842422144006935	0.04106021569412248	298	12.235944276848498																																								
178	178											214_спешка-неторопливость	0.1180554438368427	0.04169869200775296	298	12.42621021831038																																								
179	179											258_конец-начало	-0.11781945718990268	0.0421116349704348	298	12.54926722118957																																								
180	180											209_отрицание-утверждение	-0.11742592819212445	0.042807910432892365	298	12.756757309001925																																								
181	181											143_неважность-значимость	-0.1170393798928908	0.043501236939528766	298	12.963368607979573																																								
182	182											244_смерть-жизнь	0.11670524902793852	0.04410812736021977	298	13.144221953345491																																								
183	183											161_холодное_отношение-тёплое_отношение	-0.11633761107244678	0.04478407773440229	298	13.345655164851884																																								
184	184											236_умственный_труд-физический_труд	0.1155222448395287	0.0463142973152486	298	13.801660599944082																																								
185	185											96_наука-быт	-0.11527075488183333	0.046795022180939685	298	13.944916609920027																																								
186	186											52_близость-расстояние	0.11486710121504895	0.047575338866670515	298	14.17745098226781																																								
187	187											13_личные_отношения-иерархические_отношения	-0.11467403694381775	0.04795238839936032	298	14.289811743009373																																								
