	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
9																													176	-2.1020459989090625	0.03653190284158479	91.0	205.0	298.0	10.886507046792268	238	2.027214582491126	0.047529432128202015	32.0	103.0	136.0	6.464002769435474																																				210	2.355890017588155	0.020534332647696624	48	157	206	4.230072525425505																																				248	1.9916366861630646	0.049223481332204715	29.0	70.0	99.0	4.873124651888267
10																													26	-2.073326503224105	0.03910285137337754	91.0	205.0	298.0	11.652649709266507	298	1.9914690002043036	0.04966627740895113	32.0	103.0	136.0	6.754613727617354																																				181	2.3520713659756716	0.021170767485926483	48	157	206	4.3611781021008555																																										
11																													103	-2.050636573247157	0.041300806326140964	91.0	205.0	298.0	12.307640285190008																																											256	2.314577156919658	0.02304974534140676	48	157	206	4.748247540329793																																										
12																													116	1.9753486050540643	0.04931633401544044	91.0	205.0	298.0	14.69626753660125																																											90	-2.3192514212585094	0.023341563463828336	48	157	206	4.808362073548637																																										
13																																																																														50	2.312319491930012	0.023564463755267252	48	157	206	4.854279533585054																																										
14																																																																														253	-2.3111810333678275	0.024571412512719017	48	157	206	5.061710977620118																																										
15																																																																														248	-2.2879378989459984	0.0249723635960523	48	157	206	5.144306900786773																																										
16																																																																														265	2.2854588486598306	0.026530425270359138	48	157	206	5.465267605693982																																										
17																																																																														73	2.233140610302757	0.027276565827956855	48	157	206	5.618972560559112																																										
18																																																																														169	-2.2036193671051962	0.029514592858765367	48	157	206	6.080006128905666																																										
19																																																																														273	-2.1998895943499424	0.030157290701519197	48	157	206	6.212401884512954																																										
20																																																																														260	-2.2002167398463723	0.031682526470667105	48	157	206	6.526600452957424																																										
21																																																																														35	-2.1690541140449726	0.033557105600210864	48	157	206	6.912763753643438																																										
22																																																																														44	-2.162017214589596	0.033634349121080584	48	157	206	6.9286759189426																																										
23																																																																														233	-2.164871313603324	0.03391590492451073	48	157	206	6.98667641444921																																										
24																																																																														287	2.142967047361984	0.03532231049134431	48	157	206	7.276395961216927																																										
25																																																																														225	-2.1384705632796086	0.03658929112316235	48	157	206	7.537393971371444																																										
26																																																																														124	2.126648294305845	0.037804710560103746	48	157	206	7.787770375381371																																										
27																																																																														7	2.1092576399537757	0.03838310026472116	48	157	206	7.906918654532559																																										
28																																																																														88	2.1067927016503365	0.03839305250315727	48	157	206	7.908968815650398																																										
29																																																																														48	2.120013445377009	0.038551982403211484	48	157	206	7.941708375061566																																										
30																																																																														56	2.098807141048548	0.038948508376704126	48	157	206	8.02339272560105																																										
31																																																																														125	2.057570370382895	0.04234142596320483	48	157	206	8.722333748420196																																										
32																																																																														21	-2.063565730586648	0.04247211053769289	48	157	206	8.749254770764736																																										
33																																																																														178	2.042652334823444	0.04511177836549986	48	157	206	9.29302634329297																																										
34																																																																														102	-2.047948566710911	0.04513445679888012	48	157	206	9.297698100569304																																										
35																																																																														282	2.0453814994666253	0.045392384766268216	48	157	206	9.350831261851253																																										
36																																																																														109	2.014182784227021	0.04637371392398491	48	157	206	9.552985068340892																																										
37																																																																														9	-2.0363407212988984	0.04676273877855582	48	157	206	9.6331241883825																																										
38																																																																														134	2.026250997810254	0.04742869421172325	48	157	206	9.770311007614989																																										
39																																																																														277	-1.9952339602323774	0.04915424913803755	48	157	206	10.125775322435736																																										
40																																																																														186	-1.9944276667564278	0.049301655919910925	48	157	206	10.156141119501651																																										
41																																																																														99	-1.9992347389621319	0.04953247442418293	48	157	206	10.203689731381685																																										
42																																																																														220	1.9971472876698506	0.04959133506570466	48	157	206	10.215815023535159																																										
