	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
9	9																										229_закрытие-открытие	0.2664986637572625	0.030544209817585537	66.0	2.0159178479606457	110_негативные_эмоции-положительные_эмоции	0.4550130286410887	5.9290910581514857e-05	72	0.00426894556186907						219_соблюдение_закона-правонарушение	-0.3787185058265936	0.02719586611734675	34.0	0.9246594479897896											93_учёба-отдых	-0.1984385374767312	0.046669319385220065	101.0	4.713601257907227						256_фильм-жизнь	-0.372157648297424	0.02331628981106101	37.0	0.8627027230092574
10	10																										116_смерть-жизнь	-0.2655272590923392	0.031179044628183317	66.0	2.057816945460099	47_журналистика-литература	0.4538412844031128	6.228542091718766e-05	72	0.004484550306037512						14_изобилие-недостаток	0.37241306833734256	0.030082881736827487	34.0	1.0228179790521346											22_деятельность_наверху-деятельность_в_земле	0.19743966814908254	0.04780777476171462	101.0	4.828585250933177						193_порядок-беспорядок	-0.3462493458214579	0.03579118457941023	37.0	1.3242738294381786
11	11																										23_мир-конфликт	0.2634620994341709	0.03256545863999398	66.0	2.1493202702396026	249_порыв-покой	-0.4536302176510016	6.283948436667936e-05	72	0.004524442874400914						294_испытание-безмятежность	0.3532183466450692	0.040448228447779074	34.0	1.3752397672244885											184_правонарушение-соблюдение_закона	-0.1960095617274681	0.04947765759952169	101.0	4.997243417551691						45_наука-быт	-0.33526082786202555	0.042514756186521514	37.0	1.5730459789012958
12	12																										54_реальность-когнитивные_процессы	0.26232946084652603	0.03334748077737105	66.0	2.200933731306489	251_недостаток-достоинство	-0.4515966998239585	6.841635477048864e-05	72	0.004925977543475182						4_праздник-быт	-0.3506539179840446	0.04202851232024878	34.0	1.4289694188884583																					255_голод-неопределенная_тема	-0.3328351622407213	0.04412856519545354	37.0	1.6327569122317809
13	13																										145_высказывание-умалчивание	-0.26161440789442425	0.03384921503872931	66.0	2.234048192556134	54_реальность-когнитивные_процессы	-0.4455041614295691	8.798539235443874e-05	72	0.006334948249519588						20_покой-беспокойство	-0.34531864871286433	0.045475679446367184	34.0	1.5461731011764843																					40_уклад_жизни-дисциплина	0.3308583025661592	0.04548003514785488	37.0	1.6827613004706303
14	14																										287_вода-земля	0.2609932036310545	0.03429019845640947	66.0	2.263153098123025	188_страх-надёжность	-0.4394008384340164	0.00011266839168472507	72	0.008112124201300206						145_высказывание-умалчивание	0.33979957560250124	0.049276625697153034	34.0	1.6754052737032032																					91_здоровье-болезнь	0.32467335281910303	0.04992504438283963	37.0	1.8472266421650665
15	15																										24_активность-пассивность	-0.2597284880790799	0.03520282200683706	66.0	2.3233862524512463	133_торможение-развитие	-0.4345887122517357	0.0001364744360105465	72	0.009826159392759343																																			
16	16																										272_образование-невежество	0.25829484191307844	0.036261731163479666	66.0	2.393274256789657	128_неловкость-ловкость	0.4290490658163787	0.0001695739378844248	72	0.012209323527678586																																			
17	17																										6_холодное_отношение-тёплое_отношение	0.2580485282045111	0.03644630289485103	66.0	2.405455991060168	101_фиксация-пересмотр	0.4277035115992321	0.0001786578834586038	72	0.012863367609019474																																			
18	18																										64_человеческое_взаимодействие-механическое_взаимодействие	0.2580100748817435	0.03647518776269248	66.0	2.407362392337704	1_иерархия-равенство	-0.42221834624576027	0.0002205131496870836	72	0.015876946777470022																																			
19	19																										105_сущность-внешность	-0.2492005266187054	0.04361338006049655	66.0	2.878483083992772	120_усталость-покой	0.4218225768646157	0.00022385668498862271	72	0.016117681319180836																																			
20	20																										214_спешка-неторопливость	0.2460097596674471	0.04646752791430304	66.0	3.0668568423440004	259_процесс-итог	-0.41967551543363735	0.00024282086011201835	72	0.01748310192806532																																			
21	21																										255_голод-неопределенная_тема	0.2426334955562449	0.04965295146668878	66.0	3.2770947968014594	144_физический_труд-искусство	-0.41909523728601	0.0002481934409275664	72	0.01786992774678478																																			
22	22																										68_власть-народ	-0.2425639878777452	0.049720362555149264	66.0	3.2815439286398513	73_наука-физический_труд	0.4145852666508035	0.0002938169107294745	72	0.02115481757252216																																			
23	23																															52_близость-расстояние	0.4098729642202465	0.00034959103987157236	72	0.025170554870753214																																			
24	24																															16_воля-неволя	-0.4031630524378184	0.0004458080512400342	72	0.03209817968928246																																			
25	25																															25_скрытность-прозрачность	-0.3987437657890251	0.0005217863458757816	72	0.03756861690305627																																			
26	26																															158_конец-начало	-0.3977498549016348	0.0005404234383375169	72	0.03891048756030123																																			
27	27																															236_умственный_труд-физический_труд	-0.3957069089352813	0.000580649634763379	72	0.04180677370296329																																			
28	28																															189_наука-религия	0.39459305606092654	0.0006037127752674487	72	0.04346731981925631																																			
29	29																															300_беспокойство-спокойствие	-0.3911402710973459	0.0006806049980376201	72	0.04900355985870865																																			
30	30																															231_злость-радость	0.3898259920301271	0.0007121406908503884	72	0.05127412974122796																																			
31	31																															49_развитие-откат	-0.38014672438632346	0.000988469560459891	72	0.07116980835311215																																			
32	32																															199_уют-неуют	0.3780514970598952	0.001059793718044692	72	0.07630514769921784																																			
33	33																															204_столкновение-мир	0.3671927681837556	0.0015096417315385927	72	0.10869420467077866																																			
34	34																															268_отдых-работа	0.3643362418302483	0.0016535809999641475	72	0.11905783199741862																																			
35	35																															192_производство-наука	-0.3578821234384576	0.0020252582125010205	72	0.14581859130007346																																			
36	36																															3_спокойствие-суматоха	0.3534364867446879	0.002323218475185958	72	0.16727173021338898																																			
37	37																															159_реальная_жизнь-выдуманная_жизнь	0.3527649179357945	0.0023714915647207874	72	0.1707473926598967																																			
38	38																															2_неживая_природа-живая_природа	-0.3450218873861939	0.002996583240129318	72	0.21575399328931089																																			
39	39																															146_разум-чувство	-0.34165760051258603	0.003311255751622207	72	0.2384104141167989																																			
40	40																															66_курируемый-куратор	-0.3342497716463336	0.004109990532624961	72	0.29591931834899715																																			
41	41																															157_отсутствие_чувств-чувства	0.33126509620286543	0.004477365293384984	72	0.3223703011237188																																			
42	42																															190_погода-животное	-0.3280872650986216	0.004900233990915333	72	0.352816847345904																																			
43	43																															285_опасность-безопасность	0.3212103939264609	0.0059382491788500975	72	0.427553940877207																																			
44	44																															296_равенство-иерархия	0.3196242970665457	0.006203532289168722	72	0.4466543248201481																																			
45	45																															277_неживая_природа-живая_природа	-0.3192209358895597	0.006272639359732289	72	0.4516300339007248																																			
46	46																															254_свобода-неволя	-0.3011355744859806	0.010156185445655786	72	0.7312453520872166																																			
47	47																															125_разработка-разрушение	-0.3000062900638346	0.01045651184036319	72	0.7528688525061498																																			
48	48																															51_творческая_реализация - эмоциональное_переживание	0.29879743472144515	0.01078653698763732	72	0.776630663109887																																			
49	49																															295_прощение-мстительность	0.2914568907529624	0.012991692639659913	72	0.9354018700555136																																			
50	50																															142_равенство-иерархия	0.2897887761426736	0.013544006173153782	72	0.9751684444670724																																			
51	51																															140_шум-тишина	-0.2879480617633544	0.014176910275506781	72	1.0207375398364882																																			
52	52																															276_начало-конец	-0.2835393871783309	0.015797455441040026	72	1.137416791754882																																			
53	53																															163_человек-инструмент	0.27997346760037345	0.017222458930014724	72	1.2400170429610602																																			
54	54																															224_власть-отставка	0.279157889923608	0.017563451337763845	72	1.2645684963189971																																			
55	55																															10_рутина-отдых	0.27847776544704705	0.017852222548543926	72	1.2853600234951628																																			
56	56																															187_гармония-конфликт	0.27756365238871544	0.018246745726752483	72	1.3137656923261785																																			
57	57																															82_суматоха-спокойствие	0.27502977513127785	0.019379606170708344	72	1.3953316442910009																																			
58	58																															129_успех-беда	0.2742114095922883	0.01975809975755148	72	1.4225831825437063																																			
59	59																															72_недостаток-достоинство	-0.27305945284355543	0.020301568498713098	72	1.461712931907343																																			
60	60																															83_речь-текст	-0.2707984094017514	0.021405446474652343	72	1.5411921461749687																																			
61	61																															100_труд-отдых	-0.26820667317836394	0.022733280197411655	72	1.6367961742136392																																			
62	62																															19_быстрое_явление-длительное_явление	0.26599548217532715	0.023920886203789498	72	1.7223038066728438																																			
63	63																															177_изыскание-решение	0.2638699403599651	0.0251117037693966	72	1.808042671396555																																			
64	64																															185_беда-счастье	0.2624924647792843	0.025909933213984056	72	1.8655151914068517																																			
65	65																															219_соблюдение_закона-правонарушение	0.26238454034336234	0.0259733706861355	72	1.870082689401756																																			
66	66																															197_проблема-решение_проблем	-0.25377193106206297	0.03147727989087981	72	2.2663641521433457																																			
67	67																															234_холодное_отношение-тёплое_отношение	0.2526547480057346	0.032258190397335886	72	2.3225897086081844																																			
68	68																															287_вода-земля	0.25228463832861897	0.03252045168578347	72	2.34147252137641																																			
69	69																															136_апатия-взбудораженность	-0.2462050830991007	0.037090633276451145	72	2.6705255959044822																																			
70	70																															180_потребление-вывод	-0.2450005938218298	0.038056805963935465	72	2.7400900294033526																																			
71	71																															38_личное-общее	0.24324500206644514	0.03950246970048309	72	2.8441778184347832																																			
72	72																															28_неисправность-отлаженность	-0.24217325698282385	0.04040722144350853	72	2.909319943932614																																			
73	73																															282_путешествие-домоседство	-0.2366269424959716	0.04536821207612778	72	3.2665112694812004																																			
74	74																															213_обозрение-сокрытие	-0.23467029407283166	0.04723398464800406	72	3.400846894656292																																			
75	75																															264_безопасность-опасность	-0.23449125050436176	0.047407820251603616	72	3.4133630581154613																																			
