	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
9	245	0.1563558879968175	0.014490393864104431	244.0	3.535656102841481						195	0.18845991975234933	0.004840993703011822	222.0	1.0747006020686245						121	0.19344958447536653	0.0007873889514831949	298	0.2346419075419921						238	-0.1642879713431152	0.00138959746556787	376.0	0.5224886470535192	177	-0.1820701533952707	0.022917063254024376	156.0	3.5750618676278028											82	-0.24264721978178375	0.00811006243593818	118.0	0.9569873674407053						91	0.13776972340756455	0.0482951600509397	206.0	9.948802970493578	57	-0.11877598116928774	0.03847758048318727	304.0	11.697184466888931																21	-0.16885704890538897	0.04939648482669613	136.0	6.717921936430674										
10	20	-0.15471928213443673	0.015564704088885908	244.0	3.7977877976881613						263	0.1871726271483441	0.005144640936200468	222.0	1.142110287836504						169	0.19337242748122113	0.0007912849369692055	298	0.23580291121682326						90	-0.16394822856538813	0.0014222298114320167	376.0	0.5347584090984383	86	0.1813266723691044	0.023490116859000893	156.0	3.6644582300041395											93	0.2345908629793543	0.010558875959575035	118.0	1.245947363229854											73	0.11852918312428543	0.038885225099188424	304.0	11.82110843015328																														
11	248	0.15383990271433498	0.016170227945329144	244.0	3.945535618660311						251	-0.18715541353441684	0.005148814598040147	222.0	1.1430368407649125						70	-0.19077483100782153	0.0009333134035905005	298	0.27812739426996913						63	-0.16303912878743868	0.0015130400801465131	376.0	0.5689030701350889	169	0.17975956105080612	0.02473844450183666	156.0	3.859197342286519											235	-0.23457092788971268	0.010565663707994118	118.0	1.2467483175433058											287	0.1150437728194574	0.04504301642691029	304.0	13.693076993780728																														
12	153	-0.1526272501477886	0.017038938774919514	244.0	4.157501061080361						189	0.18643015037018934	0.005327449100292286	222.0	1.1826937002648876						155	0.18996982191510747	0.0009818842891053687	298	0.29260151815339985						155	-0.16227437114890803	0.0015935192776668342	376.0	0.5991632484027297	205	0.1789240633337725	0.025426939533086345	156.0	3.9666025671614698											208	-0.2332845464268438	0.011011845826964115	118.0	1.2993978075817656											252	-0.11431705432406557	0.04642507116268908	304.0	14.113221633457481																														
13	236	0.15154064138751425	0.01785164686345971	244.0	4.355801834684169						274	0.1860111195609682	0.005433172910478052	222.0	1.2061643861261275						105	0.18793187766225286	0.0011154405466250732	298	0.33240128289427184						189	-0.16205093225127726	0.001617763078605462	376.0	0.6082789175556537	227	0.1765255463404494	0.027495359304286194	156.0	4.289276051468646											198	-0.2320429909401729	0.011458063278830005	118.0	1.3520514669019406											145	-0.11418604041307273	0.04667797122349314	304.0	14.190103251941915																														
14	130	0.15068101299948303	0.018518301361553774	244.0	4.518465532219121						259	-0.18585433258700013	0.005473212228660433	222.0	1.2150531147626162						2	-0.1858742875786494	0.0012670633124384281	298	0.37758486710665157						171	0.1620218982062856	0.0016209380627929036	376.0	0.6094727116101317	231	0.17590772071381344	0.028050868087357666	156.0	4.375935421627796											139	-0.23193207098006802	0.011498688355152385	118.0	1.3568452259079815																																													
15	291	0.15036993714155195	0.0187648253423851	244.0	4.578617383541964						97	-0.18283864863533536	0.0062965873830915665	222.0	1.3978423990463278						275	0.18499453634982022	0.001337491528877726	298	0.39857247560556236						131	-0.16191869033442566	0.0016322705352038432	376.0	0.613733721236645	75	0.17407396060936572	0.029756403311024898	156.0	4.641998916519884											72	-0.23102691601554154	0.01183494920969329	118.0	1.3965240067438083																																													
16	43	-0.14963409000762307	0.01935936002224344	244.0	4.7236838454273995						201	-0.18190569668478515	0.006572845578367156	222.0	1.4591717183975086						111	0.18444272543532192	0.0013834819339330691	298	0.4122776163120546						95	-0.1616259742183153	0.0016648076790398557	376.0	0.6259676873189858	119	-0.17273946989614775	0.031052397305137088	156.0	4.844173979601385											91	0.22648166541870043	0.013656826338647813	118.0	1.611505507960442																																													
17	47	0.14880578289730326	0.02004810534595082	244.0	4.891737704412						32	0.18189878792307645	0.006574931100595272	222.0	1.4596347043321503						292	-0.18403508104066738	0.001418383847391018	298	0.4226783865225234						70	0.16159629589564203	0.0016681395703518572	376.0	0.6272204784522983	136	-0.17270214653746713	0.03108932292258313	156.0	4.8499343759229685											115	0.2258565491651769	0.01392560505587004	118.0	1.6432213965926648																																													
18	282	-0.14804237857522118	0.020701603687418094	244.0	5.051191299730015						83	0.1812264801028612	0.006780727270402522	222.0	1.5053214540293598						241	0.1836013747939039	0.0014564024116166072	298	0.4340079186617489						109	0.16140781806056057	0.0016894423955859717	376.0	0.6352303407403254	66	-0.17259726780982682	0.031193283810419175	156.0	4.866152274425391											11	0.22512647331052577	0.014245337539365894	118.0	1.6809498296451755																																													
19	181	-0.147648193971741	0.0210462061851866	244.0	5.13527430918553						177	-0.18041099358754287	0.00703805440234161	222.0	1.5624480773198375						152	0.18349542970352398	0.0014658304453920683	298	0.43681747272683635						17	-0.1612981568837863	0.0017019513238253263	376.0	0.6399336977583227	90	0.17197561740166245	0.031815577224460566	156.0	4.963230047015848											59	0.2245778045677536	0.014489812832490808	118.0	1.7097979142339155																																													
20	100	-0.14741236898001775	0.02125473393394244	244.0	5.186155079881955						243	-0.17948909789160636	0.007339417203241805	222.0	1.6293506191196807						31	0.18272293273169044	0.00153628438890221	298	0.4578127478928586						108	0.16092313718688428	0.0017453733580069639	376.0	0.6562603826106184	89	-0.1709447292602333	0.032870759146458775	156.0	5.1278384268475685											241	0.22222788837591173	0.015578655242301998	118.0	1.8382813185916358																																													
21	210	-0.14701157108604426	0.02161324242292546	244.0	5.273631151193812						90	0.17890018094700944	0.007537898600932035	222.0	1.673413489406912						271	-0.1823300648418627	0.0015732931397339637	298	0.46884135564072116						79	-0.1609025517689741	0.0017477859812262636	376.0	0.6571675289410751	272	-0.17016974367875212	0.03368341149823357	156.0	5.254612193724436											297	-0.22049673327301728	0.016425602605579917	118.0	1.9382211074584301																																													
22	296	0.14653799323339697	0.02204358344635106	244.0	5.3786343609096585						179	-0.1780241835704502	0.007841979895486602	222.0	1.7409195367980257						41	-0.1822234938289057	0.0015834721569867871	298	0.47187470278206256						203	-0.16088990744877293	0.0017492694167433205	376.0	0.6577253006954885	150	-0.16841047840544085	0.035591518402165095	156.0	5.552276870737755											126	0.21931919686152784	0.017024258736385245	118.0	2.0088625308934587																																													
23	175	-0.14653760577149663	0.022043938544420643	244.0	5.378721004838637						272	-0.17763638198030782	0.007980046350565406	222.0	1.7715702898255201						291	0.18213971084269712	0.0015915169147428156	298	0.47427204059335903						287	0.1607128809363965	0.0017701596495861658	376.0	0.6655800282443983	115	0.16814146736877483	0.035891188102908214	156.0	5.599025344053682											237	-0.21829407744397306	0.01756072121113983	118.0	2.0721651029145																																													
24	2	-0.14633010755307863	0.022234816738851124	244.0	5.425295284279674						253	0.17745668426328387	0.008044752766042712	222.0	1.785935114061482						112	0.18172829724245626	0.001631566377190993	298	0.4862067804029159						210	0.15966953892758204	0.0018979904619274182	376.0	0.7136444136847092	140	0.16782004123260322	0.03625203755040682	156.0	5.655317857863464											142	-0.21811274515592174	0.0176571224809081	118.0	2.0835404527471555																																													
25	85	-0.14539894012799856	0.023109089689787986	244.0	5.638617884308268						69	-0.17537166579220817	0.008830361142326411	222.0	1.9603401735964632						4	-0.1813633617934592	0.0016678614403014952	298	0.4970227092098456						121	-0.15955634245988395	0.0019123555195588065	376.0	0.7190456753541112	54	-0.16544160180189632	0.03901851386792049	156.0	6.086888163395597											149	-0.21443230432590638	0.01971507285414088	118.0	2.326378596788624																																													
26	21	-0.14450455733224205	0.02397659881541555	244.0	5.850290110961394						91	0.17513194160545345	0.008924913398670062	222.0	1.9813307745047537						134	-0.1808510584683901	0.00172006080695374	298	0.5125781204722145						153	0.15916634574387087	0.0019626124181101132	376.0	0.7379422692094025	254	-0.16539176275347453	0.03907833241258826	156.0	6.096219856363769											49	-0.21434121935859898	0.01976852085434224	118.0	2.3326854608123844																																													
27	237	0.14422555379325436	0.024252899710744777	244.0	5.917707529421725						159	0.17380581159674482	0.009464369864792113	222.0	2.1010901099838493						280	0.1808053029368526	0.0017247948759385736	298	0.513988873029695						91	-0.15906245397523064	0.001976202611119016	376.0	0.7430521817807499	122	0.16405790359633127	0.04070816189913817	156.0	6.3504732562655555											34	-0.21336483678841148	0.02034934367418306	118.0	2.401222553553601																																													
28	254	-0.14358607707447754	0.02489654844654059	244.0	6.074757820955904						89	-0.17371302517849282	0.009503173660980985	222.0	2.109704552737779						125	-0.1803907686897661	0.001768230820407453	298	0.526932784481421						51	0.15905657040974722	0.0019769748146318705	376.0	0.7433425303015833	257	-0.16396216046876463	0.0408273121801802	156.0	6.369060700108111											290	-0.21230211120166986	0.02099817069066381	118.0	2.4777841414983297																																													
29	53	0.14323519737456755	0.0252559236739372	244.0	6.162445376440677						173	0.17362331330598357	0.009540825582382374	222.0	2.118063279288887						255	-0.18000181721769437	0.0018098935844370779	298	0.5393482881622492						2	0.15848037518629565	0.0020539491834820852	376.0	0.7722848929892641	25	-0.1635575131775467	0.04133412420183152	156.0	6.448123375485717											71	0.21125315886383988	0.021655957366384062	118.0	2.5554029692333193																																													
30	209	-0.14319008047178594	0.025302455129357086	244.0	6.173799051563129						85	-0.17228730967768519	0.010117386104262185	222.0	2.246059715146205						189	0.17983693529620692	0.0018278243731559094	298	0.544691663200461						193	0.15834249019339505	0.002072770883212899	376.0	0.77936185208805	70	-0.16337307835558135	0.04156686940373328	156.0	6.484431626982392											267	0.20865813817032158	0.023359790604027594	118.0	2.7564552912752562																																													
31	262	-0.1428523664675596	0.025653104840937413	244.0	6.259357581188729						280	0.17214816447413492	0.010179171624334203	222.0	2.2597761006021932						153	-0.1797908957454681	0.0018328600655340918	298	0.5461922995291594						174	-0.1579172945273808	0.002131807851269003	376.0	0.8015597520771451	20	-0.1627026531359729	0.042422180674291	156.0	6.617860185189397											276	0.20862770068036937	0.02338043778186146	118.0	2.7588916582596523																																													
32	246	0.1422033312944543	0.026338739744694792	244.0	6.426652497705529						86	0.1707226847490608	0.01083160861020181	222.0	2.404617111464802						220	-0.17966953969071486	0.0018461945279590805	298	0.550165969331806						58	-0.1576752076513401	0.002166102925501164	376.0	0.8144546999884377	81	-0.16226446241859097	0.04298914073232686	156.0	6.70630595424299											110	0.20836163564506266	0.02356158879738595	118.0	2.780267478091542																																													
33	167	-0.14179236748219437	0.02678096657696723	244.0	6.534555844780004						108	-0.17027224040004016	0.011045314670247941	222.0	2.452059856795043						253	0.1793816383950907	0.0018781842643910416	298	0.5596989107885304						67	-0.15750871913197745	0.002189979954206079	376.0	0.8234324627814857	2	-0.16073375207568608	0.045019680590202976	156.0	7.023070172071664											234	0.20793994586901934	0.02385115950180467	118.0	2.814436821212951																																													
34	183	0.14174599453483697	0.026831265014130738	244.0	6.5468286634479						67	0.17002911170395799	0.011162202136651846	222.0	2.4780088743367097						108	-0.1791890661915583	0.0018998635290373548	298	0.5661593316531317						1	0.1572826260098672	0.0022227899530234112	376.0	0.8357690223368026	196	0.160649897954426	0.04513319125508245	156.0	7.040777835792863											25	-0.20707190470622944	0.024456837427657956	118.0	2.885906816463639																																													
35	10	0.14158121852638972	0.02701064567584135	244.0	6.59059754490529						295	0.16976700676781956	0.011289433629355642	222.0	2.5062542657169526						90	0.1790341368055192	0.001917470778826845	298	0.5714062920903998						5	-0.15700826884320535	0.002263206162584578	376.0	0.8509655171318014	287	-0.16059769921422717	0.04520397162163657	156.0	7.0518195729753055											203	0.2067495709890831	0.024685071944529	118.0	2.912838489454422																																													
36	260	0.14143659614026902	0.027168933224882952	244.0	6.6292197068714405						158	-0.16912740566086987	0.011605292611912902	222.0	2.576374959844664						207	-0.1789576511501423	0.0019262179934084016	298	0.5740129620357036						300	0.15699152152705736	0.0022656948317394615	376.0	0.8519012567340375	41	-0.16023029026431942	0.04570479611901338	156.0	7.129948194566087											227	-0.20637205702102382	0.02495469092612872	118.0	2.944653529283189																																													
37	108	-0.14104452308277146	0.027602060364475007	244.0	6.7349027289319014						266	0.16871590091498181	0.011812602409593134	222.0	2.6223977349296757						208	-0.17807334944078962	0.0020300313897372063	298	0.6049493541416875						29	0.15690231050533748	0.002278993814063095	376.0	0.8569016740877238	85	-0.16009672930381041	0.04588800000625633	156.0	7.158528000975987											96	-0.20629492891779613	0.025010084045736625	118.0	2.951189917396922																																													
38	198	-0.14101961215172734	0.027629778572855153	244.0	6.741665971776658						248	0.16862329726094763	0.011859701856474428	222.0	2.632853812137323						17	0.17764593815035634	0.0020820168015587923	298	0.6204410068645201						269	0.15682203778545087	0.002291021169269627	376.0	0.8614239596453797	153	-0.15996233434801604	0.046072965749434126	156.0	7.187382656911724											147	0.20491621171823168	0.026018143823781675	118.0	3.0701409712062375																																													
39	147	0.14007365511016326	0.02870013701673479	244.0	7.002833432083289						17	0.16741489943416896	0.012489641450103249	222.0	2.772700401922921						94	-0.17745898366444743	0.002105135410936651	298	0.627330352459122						198	0.15665336419892514	0.00231648262089681	376.0	0.8709974654572006	269	-0.15979154237492404	0.04630892087380494	156.0	7.224191656313571											118	0.20437354834658464	0.02642431857323028	118.0	3.118069591641173																																													
40	271	-0.13979146446289326	0.029026231066163095	244.0	7.082400380143795						169	0.16724735763943693	0.012579264312948093	222.0	2.7925966774744766						180	-0.17743141671871207	0.0021085640585649175	298	0.6283520894523454						106	-0.1566071318161627	0.002323506375219959	376.0	0.8736383970827046	265	-0.15957067903716995	0.0466155443091828	156.0	7.272024912232517											238	-0.20402938789857317	0.026684709192026878	118.0	3.148795684659172																																													
41	23	-0.13957717915982173	0.02927596732523248	244.0	7.1433360273567255						122	0.16724497359889487	0.012580543673921236	222.0	2.7928806956105143						44	0.17717424913186236	0.002140795704578377	298	0.6379571199643563						77	-0.1564578584591991	0.0023463172260740515	376.0	0.8822152770038434	260	0.15869814675634686	0.04784346949811567	156.0	7.463581241706045											261	0.20392381735316947	0.026765020577868545	118.0	3.1582724281884884																																													
42	89	-0.13953270766780482	0.029328025677750055	244.0	7.156038265371014						140	0.16715331406965375	0.012629818276166587	222.0	2.803819657308982						247	-0.177153319237982	0.0021434385933532104	298	0.6387447008192567						208	0.15641913298336688	0.0023522682384152084	376.0	0.8844528576441184	162	0.15812982910168435	0.048657656328860405	156.0	7.5905943873022235											104	0.2038886757738121	0.026791799726522816	118.0	3.161432367729692																																													
43	54	-0.13844473814458302	0.030626480417931534	244.0	7.472861221975294						157	0.16696420388721078	0.012732017160117327	222.0	2.8265078095460465						173	0.17713171611394254	0.0021461696143630178	298	0.6395585450801793						200	0.15639792489097468	0.0023555331538129397	376.0	0.8856804658336653	49	-0.15775353312413448	0.04920306156101441	156.0	7.675677603518247											173	0.20334719278887384	0.02720732481945476	118.0	3.210464328695662																																													
44	233	0.13789137096366422	0.03130551986980563	244.0	7.638546848232573						181	-0.1662736928600971	0.013111382032263412	222.0	2.9107268111624776						288	0.1766910130772038	0.00220257977640458	298	0.6563687733685648						150	0.1560467089533057	0.0024102060287497493	376.0	0.9062374668099058																13	0.20283168392834042	0.02760800580158548	118.0	3.2577446845870868																																													
45	212	-0.13766532773897888	0.0315865689184078	244.0	7.707122816091502						110	0.16618608364158274	0.013160217043171529	222.0	2.921568183584079						57	0.1766419828434703	0.00220893853080624	298	0.6582636821802594						26	0.1558267157617319	0.0024450384954485213	376.0	0.919334474288644																282	-0.2025778895041558	0.027807106541184425	118.0	3.2812385718597623																																													
46	244	0.1373178342451497	0.03202281521968727	244.0	7.813566913603694						170	0.165469726910441	0.013565556781937844	222.0	3.0115536055902012						282	-0.17660217032583597	0.0022141141445633007	298	0.6598060150798636						169	-0.15580940279578623	0.002447799112769158	376.0	0.9203724664012033																29	-0.20207930524927264	0.02820180372793669	118.0	3.3278128398965294																																													
