	Unnamed: 0	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
9	9	110_негативные_эмоции-положительные_эмоции	-0.16173099684906148	0.016850368665031375	218	3.67338036897684																					7_чужбина-родной_дом	-0.26538600427792386	0.028725072802894613	68.0	1.9533049505968332																					97_активность-пассивность	0.2672308646533185	0.02046347910006943	75.0	1.5347609325052074	158_конец-начало	0.23865099127779166	0.04663558450535752	70.0	3.2644909153750263	214_спешка-неторопливость	0.31005187517439003	0.03198156243110765	48.0	1.5351149966931672	144_физический_труд-искусство	0.3642645928025096	0.03715430772936838	33.0	1.2260921550691566											228_народ-власть	0.3246375100546089	0.04995178315411071	37.0	1.8482159767020965
10	10	94_проблема-решение_проблем	0.16048369034567309	0.01772655005185585	218	3.864387911304575																					4_праздник-быт	-0.2638697683171939	0.0296842116601966	68.0	2.018526392893369																					297_юмор-суровость	0.26534674579543793	0.021403850421446064	75.0	1.6052887816084551	257_тёплые_чувства-холодные_чувства	-0.23799700919180164	0.047258050785793336	70.0	3.3080635550055337	126_путешествие-конец_движения	0.3067281502677772	0.03396666799707193	48.0	1.630400063859453	26_ненависть-дружба	0.3623595178283691	0.03823227507244123	33.0	1.2616650773905609															
11	11	65_серьёзность-веселье	-0.160128002702227	0.017983561003672464	218	3.9204162988005966																					240_осторожность-риск	0.2605319843906776	0.03189072425481631	68.0	2.168569249327509																					173_отдых-работа	-0.2645117770500324	0.021832225581201528	75.0	1.6374169185901146	54_реальность-когнитивные_процессы	0.2361420384881432	0.049060888186061684	70.0	3.434262173024317	229_закрытие-открытие	-0.30547450685873623	0.034741382884165416	48.0	1.6675863784399405	157_отсутствие_чувств-чувства	-0.35637169997247176	0.04178594645219113	33.0	1.3789362329223072															
12	12	4_праздник-быт	0.15985199913216736	0.01818522176953468	218	3.96437834575856																					94_проблема-решение_проблем	-0.2547288274618668	0.03605381832594745	68.0	2.4516596461644267																					50_проблема-взаимовыручка	0.26447157491488826	0.02185303404325918	75.0	1.6389775532444386						222_религия-повседневность	0.30541095804972096	0.03478103950996317	48.0	1.6694898964782319	215_творчество-власть	-0.3473912280806285	0.04760903745061346	33.0	1.5710982358702443															
13	13	225_кража-находка	-0.1587482217667347	0.01901147368575231	218	4.144501263494003																					100_труд-отдых	-0.2533893684837958	0.03707645490816818	68.0	2.521198933755436																					16_воля-неволя	0.26233157472696605	0.022985349242991213	75.0	1.7239011932243409						144_физический_труд-искусство	0.3030553032157309	0.03627763322763347	48.0	1.7413263949264066	260_быт-искусство	-0.3469398316490673	0.04791801445667671	33.0	1.5812944770703314															
14	14	298_очевидный-скрытый	-0.1584236097956673	0.019260588206474024	218	4.1988082290113375																					209_отрицание-утверждение	-0.2531368788200656	0.037271900739568486	68.0	2.5344892502906573																					209_отрицание-утверждение	0.26047912755004204	0.024005439490477842	75.0	1.800407961785838						212_наука-быт	0.3020079595978403	0.03695986612454028	48.0	1.7740735739779332	54_реальность-когнитивные_процессы	-0.3466807141030133	0.04809610041593678	33.0	1.5871713137259138															
15	15	254_свобода-неволя	0.15764676304785835	0.019868289160410127	218	4.3312870369694085																					265_радость-недовольство	-0.25290654896947645	0.03745093982943536	68.0	2.5466639084016047																					47_журналистика-литература	-0.2587902351408495	0.024968715810741605	75.0	1.8726536858056204						263_влияние-зависимость	0.3014165642167071	0.037349740629495067	48.0	1.7927875502157635																				
16	16	241_нападение-оборона	-0.15580560790081788	0.021375331682484344	218	4.659822306781587																					46_идея-реализация	-0.25191211122336915	0.038232160846353364	68.0	2.5997869375520284																					150_безопасность-опасность	0.25789030715774125	0.02549524875470288	75.0	1.912143656602716						61_единство-разрозренность	0.2984784501807486	0.0393371741264042	48.0	1.8881843580674011																				
17	17	161_холодное_отношение-тёплое_отношение	-0.15479169198382828	0.02224671874980633	218	4.84978468745778																					204_столкновение-мир	0.24728938519248225	0.04204356421823949	68.0	2.8589623668402853																					108_творчество-власть	0.25666246741627896	0.026228786804468825	75.0	1.967159010335162						208_неживая_природа-живая_природа	-0.29585854518774884	0.041181808393637095	48.0	1.9767268028945808																				
18	18	272_образование-невежество	0.15280912051372267	0.024039519880299023	218	5.240615333905187																					186_движение-неподвижность	0.2436535988428386	0.04525734376521611	68.0	3.077499376034696																					155_поражение-победа	-0.2551914752145984	0.027131031254169685	75.0	2.0348273440627263						248_спор-согласие	-0.2948524284385646	0.04190876563418647	48.0	2.0116207504409505																				
19	19	125_разработка-разрушение	0.1505201810078618	0.026262813160757927	218	5.7252932690452285																					119_окончание-процесс	-0.24201696353198004	0.04676865749081482	68.0	3.1802687093754085																					289_недовольство-радость	-0.2548137671426783	0.027366888457472868	75.0	2.0525166343104653						15_древняя_работа-современная_работа	0.2864143490789444	0.048428058685423984	48.0	2.3245468169003507																				
20	20	111_нежелание-желание	-0.1502623932267855	0.026523929205574504	218	5.782216566815243																					249_порыв-покой	-0.24035053879093046	0.0483498651667187	68.0	3.287790831336872																					66_курируемый-куратор	0.2543468008209619	0.02766087487537756	75.0	2.074565615653317																														
21	21	66_курируемый-куратор	0.15004450523099516	0.02674636396982192	218	5.830707345421177																																														102_фантастика-реальность	-0.2541753783771935	0.027769463868988657	75.0	2.082709790174149																														
22	22	61_единство-разрозренность	0.149811782677358	0.02698570772094326	218	5.882884283165632																																														4_праздник-быт	0.2528325393953841	0.028632614697449512	75.0	2.147446102308713																														
23	23	101_фиксация-пересмотр	0.14852000675017352	0.028347879631283636	218	6.179837759619835																																														200_природа-техника	0.2517024985614528	0.02937641132200195	75.0	2.2032308491501458																														
24	24	288_радость-недовольство	-0.1480439163396664	0.02886454170747364	218	6.292470092229253																																														216_старость-смерть	-0.25088682867528594	0.02992334602947845	75.0	2.244250952210884																														
25	25	155_поражение-победа	-0.1479628016705594	0.028953366705419238	218	6.3118339417813925																																														244_смерть-жизнь	-0.2506059564010064	0.030113653614321563	75.0	2.2585240210741166																														
26	26	212_наука-быт	-0.14726032904699915	0.02973243349767983	218	6.481670502494202																																														292_экстрим-повседневность	0.2482696626851511	0.03173645562884052	75.0	2.3802341721630387																														
27	27	60_восстание-смирение	-0.1470075236070688	0.030017150023083743	218	6.543738705032258																																														278_физический_труд-умственный_труд	0.2475044807687566	0.03228366407451063	75.0	2.4212748055882973																														
28	28	73_наука-физический_труд	0.14686811505903352	0.03017514893852468	218	6.5781824685983805																																														129_успех-беда	-0.24691160403916385	0.03271307472906313	75.0	2.4534806046797346																														
29	29	137_вертикальные_отношения-горизонтальные_отношения	0.1458587375081134	0.03134043764160762	218	6.832215405870461																																														89_апатия-взбудораженность	0.2467075452296083	0.0328619746302097	75.0	2.4646480972657274																														
30	30	203_концепция-хаотичность	-0.14552904144693524	0.03172927260371931	218	6.916981427610811																																														250_быт-война	0.2461528342594356	0.03326961664785249	75.0	2.4952212485889365																														
31	31	76_мир-война	-0.14536407666729936	0.03192536476474107	218	6.959729518713553																																														130_размеренная_жизнь-напряжённая_жизнь	-0.2451602541835848	0.03400961126303854	75.0	2.5507208447278904																														
32	32	256_фильм-жизнь	0.1451317560317621	0.03220327108731748	218	7.020313097035213																																														239_радость-недовольство	0.24369152974839384	0.03512982598956022	75.0	2.6347369492170167																														
33	33	49_развитие-откат	0.14497378849311307	0.032393408358702726	218	7.0617630221971925																																														85_направление-дезориентация	0.2433355421948149	0.03540593730837088	75.0	2.655445298127816																														
34	34	234_холодное_отношение-тёплое_отношение	0.14384264061220525	0.033783014554297865	218	7.364697172836935																																														203_концепция-хаотичность	-0.2431317208920191	0.03556484003260192	75.0	2.667363002445144																														
35	35	237_низшие_слои-высшие_слои	-0.14330654039811308	0.03445909222202999	218	7.512082104402538																																														180_потребление-вывод	0.24243721016856926	0.036110773382829864	75.0	2.708308003712239																														
36	36	55_армия-гражданская_жизнь	-0.1422972178873137	0.03576312556329106	218	7.796361372797451																																														126_путешествие-конец_движения	-0.2422697294707073	0.036243466556424304	75.0	2.718259991731822																														
37	37	206_расслабление-напряжение	-0.14226445036669538	0.03580615189962668	218	7.805741114118616																																														153_прерывание-продолжение	0.2402677102011737	0.03786139847547265	75.0	2.8396048856604486																														
38	38	117_живая_природа-неживая_природа	0.14214221865976895	0.03596703874553773	218	7.840814446527225																																														62_жизнь-смерть	0.2397808832916804	0.03826379237452688	75.0	2.869784428089516																														
39	39	255_голод-неопределенная_тема	0.14206128134338006	0.03607390857452896	218	7.864112069247312																																														291_работа-санкция	-0.2388879524049257	0.039011111976544534	75.0	2.9258333982408398																														
40	40	183_неживая_природа-живая_природа	-0.14157649971692196	0.03671965824959853	218	8.004885498412477																																														196_неуют-уют	-0.237561404229225	0.0401437219955539	75.0	3.0107791496665417																														
41	41	280_радость-недовольство	-0.13998685625025362	0.03890614055544212	218	8.481538641086381																																														172_наука-быт	0.236012210774902	0.0415008640504492	75.0	3.1125648037836897																														
42	42	88_лишение-наделение	-0.13937101332938806	0.039782229898153325	218	8.672526117797425																																														187_гармония-конфликт	-0.2339442259723309	0.04337156428221692	75.0	3.2528673211662684																														
43	43	269_власть-беспорядок	0.1392500643884525	0.03995622888877639	218	8.710457897753253																																														48_отдаление-приближение	0.2338812100572893	0.043429646086210805	75.0	3.2572234564658102																														
44	44	36_спокойствие-деятельность	-0.13883248800010492	0.04056189639020274	218	8.842493413064197																																														272_образование-невежество	0.2336627423526133	0.04363150633116503	75.0	3.2723629748373773																														
45	45	29_негативные_чувства-духовные_чувства	0.1375140688223128	0.0425251287833192	218	9.270478074763584																																														174_праздник-быт	-0.2335760370786888	0.043711835256336214	75.0	3.278387644225216																														
46	46	102_фантастика-реальность	-0.13721788146740915	0.042976985948710834	218	9.368982936818963																																														279_соблюдение_закона-правонарушение	-0.23316429516162626	0.044094968648751	75.0	3.3071226486563248																														
47	47	253_соблюдение_закона-правонарушение	-0.1371192667408761	0.04312832192777764	218	9.401974180255523																																														171_работа-отдых	0.2326169617219693	0.0446085659439294	75.0	3.3456424457947054																														
48	48	44_упорядоченность-однородная_масса	-0.13694441685387584	0.043397749250695214	218	9.460709336651556																																														51_творческая_реализация - эмоциональное_переживание	0.2323804099103871	0.04483206169424074	75.0	3.3624046270680554																														
49	49	116_смерть-жизнь	-0.136684293583898	0.04380118690726022	218	9.548658745782728																																														9_трудности-отсутствие_проблем	-0.23124187377544575	0.0459207332201704	75.0	3.4440549915127803																														
50	50	282_путешествие-домоседство	0.13652798950799458	0.04404511560627862	218	9.60183520216874																																														125_разработка-разрушение	0.22975107680368498	0.04737911572248637	75.0	3.5534336791864782																														
51	51	177_изыскание-решение	0.13645121395874293	0.04416534824241908	218	9.628045916847359																																														137_вертикальные_отношения-горизонтальные_отношения	0.2293363635447763	0.04779152453443515	75.0	3.5843643400826366																														
52	52	84_последовательность-разлад	0.1361058696626179	0.04470957394118726	218	9.746687119178825																																														103_познание-непостижимость	0.22896078961736802	0.04816755659803106	75.0	3.6125667448523298																														
53	53	159_реальная_жизнь-выдуманная_жизнь	-0.1352829411251479	0.04602909732009596	218	10.03434321578092																																														115_наследство-собственность	-0.2281054589054235	0.049033019683882746	75.0	3.677476476291206																														
54	54	20_покой-беспокойство	0.13523853633073005	0.04610121460334137	218	10.05006478352842																																														207_фантастика-реальность	0.2277793831921556	0.04936630501796743	75.0	3.7024728763475565																														
55	55	285_опасность-безопасность	-0.13509304988504914	0.046338159638764434	218	10.101718801250646																																																																																
56	56	81_религия-наука	0.1330586372060583	0.049759525661781635	218	10.847576594268396																																																																																
