	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
9	207	-0.29960041245612207	0.022325825234503473	58.0	1.2948978636012014	133	-0.36137269176695325	0.02798036558742415	37.0	1.0352735267346935																					26	-0.9502604480237544	0.003649506147631059	6	0.021897036885786356	139	0.7698009330615	0.009206565215948535	10.0	0.09206565215948535																										61	0.7866903106335086	0.011895954555252676	9.0	0.10706359099727408											146	0.8987524510450394	0.038080494307496875	5.0	0.19040247153748438
10	127	0.2960652970162793	0.024037233588246866	58.0	1.3941595481183182	46	-0.3591910871279802	0.029011582570760152	37.0	1.0734285551181255																					159	0.9481705756502158	0.00395981943047173	6	0.02375891658283038	113	0.7660227675565591	0.009777501567996573	10.0	0.09777501567996573																										231	-0.7849890626456338	0.0122094664458729	9.0	0.1098851980128561											28	-0.888232938695139	0.04409469591192498	5.0	0.22047347955962493
11	232	-0.2900191464048689	0.027220647083825943	58.0	1.5787975308619047	224	-0.34722795886156993	0.03523707552672417	37.0	1.3037717944887943																					151	0.9451876180181398	0.004424256743804509	6	0.026545540462827054	162	-0.7649751122606823	0.00994013305410407	10.0	0.09940133054104071																										60	0.7739176410889825	0.014386194279868696	9.0	0.12947574851881827											87	0.8790158388248204	0.049588846381556397	5.0	0.24794423190778198
12	290	0.2873885372332535	0.028712328310069337	58.0	1.6653150419840215	160	-0.3470296711974679	0.035348780504923294	37.0	1.3079048786821619																					208	-0.9448236492122782	0.004482654269216051	6	0.026895925615296308	174	-0.758899672086143	0.010921009092929939	10.0	0.10921009092929938																										107	-0.7671782000131001	0.0158305940985478	9.0	0.1424753468869302															
13	28	-0.2868892947688433	0.029003016045414373	58.0	1.6821749306340337	258	0.34230322289148835	0.03809810172469317	37.0	1.4096297638136472																					115	0.9388196631464174	0.005500050397489742	6	0.03300030238493845	49	0.7534398562578929	0.011858832416173463	10.0	0.11858832416173463																										190	0.7658388046431037	0.016128725135101146	9.0	0.1451585262159103															
14	83	0.286667214227301	0.029133113819831975	58.0	1.6897206015502546	150	0.33420998305036326	0.04320792882416334	37.0	1.5986933664940437																					25	-0.9374821090225615	0.005740554865943381	6	0.03444332919566029	17	-0.7531941926652496	0.011902312243344313	10.0	0.11902312243344314																										50	0.7601136531903617	0.017445269639181114	9.0	0.15700742675263002															
15	217	0.2814073450963337	0.03236021229287737	58.0	1.8768923129868873																										64	0.9368817871543634	0.005850134587668991	6	0.035100807526013945	135	-0.749556580462454	0.012559286511722244	10.0	0.12559286511722245																										58	-0.7532335493988083	0.019119657598169103	9.0	0.17207691838352193															
16	144	-0.2800440137585379	0.03324364149357716	58.0	1.9281312066274754																										43	-0.9338280158520798	0.006423222553866715	6	0.03853933532320029	8	-0.7466112267709071	0.013109522288134574	10.0	0.13109522288134573																										90	-0.7379420773457287	0.023215183323976537	9.0	0.20893664991578884															
17	92	0.27853936082840874	0.03424186042621652	58.0	1.986027904720558																										180	-0.9334285183205858	0.006500128772335418	6	0.039000772634012505	240	0.7451582716865447	0.013387072286896416	10.0	0.13387072286896418																										230	-0.735569602718876	0.023898273931944058	9.0	0.2150844653874965															
18	121	0.2770886431813906	0.03522776935530655	58.0	2.0432106226077797																										284	-0.9319043926248446	0.006797637550137381	6	0.04078582530082429	179	0.7413348356678142	0.014137037536215393	10.0	0.14137037536215394																										157	-0.7350055799246861	0.02406259426943161	9.0	0.21656334842488448															
19	42	-0.27487455146570405	0.036777821978817064	58.0	2.1331136747713897																										292	-0.9307096300510963	0.007035396135680382	6	0.04221237681408229	146	0.7296586705260953	0.01660837731630496	10.0	0.1660837731630496																										261	-0.7340769324973959	0.02433476132801762	9.0	0.21901285195215858															
20	275	0.27340250743325	0.037839332152449424	58.0	2.1946812648420666																										197	0.9301551079371247	0.007147100939976161	6	0.04288260563985696	292	0.7149630477928646	0.02012651008458937	10.0	0.20126510084589372																										168	0.7165607975175388	0.02985363389174745	9.0	0.26868270502572705															
21	201	-0.27226620693293596	0.03867596400891227	58.0	2.2432059125169115																										122	0.9279061697145397	0.0076089259722851256	6	0.04565355583371075	141	0.714564385382461	0.02022855247546884	10.0	0.20228552475468842																										215	0.7148377739759215	0.030436904778680236	9.0	0.27393214300812213															
22																															96	0.927366973305986	0.007721745029631352	6	0.046330470177788116	16	0.7123079155555219	0.020812870279254703	10.0	0.20812870279254703																										65	-0.7096422722982987	0.03224056833184755	9.0	0.2901651149866279															
23																															213	0.9264165016743392	0.007922586764068278	6	0.04753552058440967	158	0.7088555247337424	0.02172927099325247	10.0	0.2172927099325247																										20	0.6972146113221511	0.03683367567055219	9.0	0.3315030810349697															
24																															87	0.9259772169345618	0.008016259421407407	6	0.04809755652844444	270	0.7076297217852108	0.022061229583964136	10.0	0.22061229583964137																										30	0.6919358870870184	0.038906108884796745	9.0	0.3501549799631707															
25																															281	0.9245260533909074	0.008329513177027613	6	0.04997707906216568	53	-0.7067279264477184	0.022307663832113512	10.0	0.2230766383211351																										117	0.6903394086560998	0.03954739783565478	9.0	0.355926580520893															
26																															14	-0.922476347644561	0.008781919666309854	6	0.05269151799785912	1	0.7026811184957882	0.023436910426889238	10.0	0.23436910426889238																										192	0.6869851049112939	0.04091692993598293	9.0	0.36825236942384637															
27																															40	-0.9223411550536219	0.00881216808122855	6	0.0528730084873713	31	-0.700633016199608	0.024023137238764505	10.0	0.24023137238764505																										82	0.6843015256167546	0.04203435274819722	9.0	0.378309174733775															
28																															1	-0.9208567060307422	0.009147628089312536	6	0.05488576853587522	279	-0.6995463902437608	0.024338215537991537	10.0	0.24338215537991537																										153	0.6790586060833091	0.04427373781604478	9.0	0.398463640344403															
29																															248	0.9208266833557213	0.009154475536733207	6	0.05492685322039924	225	-0.6970601842773063	0.02506976943416263	10.0	0.2506976943416263																										207	0.6738164254408351	0.04658800197886963	9.0	0.41929201780982667															
30																															155	0.9207471890647887	0.00917261829031532	6	0.055035709741891925	163	-0.6920688905522552	0.026583707699722285	10.0	0.26583707699722287																										146	0.6711756802308257	0.04778257417842226	9.0	0.4300431676058003															
31																															262	-0.9192317076534492	0.009521828906813221	6	0.05713097344087933	115	-0.6914970655715633	0.026761051160837736	10.0	0.26761051160837734																										240	-0.6696215827231894	0.048494659067309945	9.0	0.4364519316057895															
32																															20	-0.9165810748094875	0.010147831270153746	6	0.06088698762092248	9	-0.6898522556844163	0.027275677348599807	10.0	0.2727567734859981																																													
33																															140	-0.9133715888649621	0.010931671764288135	6	0.0655900305857288	160	-0.6884306680183567	0.027725881266721146	10.0	0.2772588126672115																																													
34																															253	0.9101395997209691	0.011749530814540433	6	0.0704971848872426	177	0.6871206109177064	0.028145238076884283	10.0	0.2814523807688428																																													
35																															52	0.9093971259729376	0.011941447077249878	6	0.07164868246349926	105	-0.6846250325596304	0.02895603762874753	10.0	0.28956037628747533																																													
36																															235	-0.9086231604321057	0.012143104390575138	6	0.07285862634345083	241	-0.6839273851362279	0.029185518334297732	10.0	0.29185518334297733																																													
37																															53	0.9084628076625748	0.012185088668828122	6	0.07311053201296873	103	0.68045770440076	0.030345264643229335	10.0	0.30345264643229336																																													
38																															86	0.9080534984736984	0.012292573536119938	6	0.07375544121671962	136	-0.6801363393925403	0.030454244170114213	10.0	0.30454244170114214																																													
39																															290	0.9079881922172576	0.012309765226321514	6	0.07385859135792908	242	-0.671717146851843	0.033405091123039146	10.0	0.33405091123039143																																													
40																															166	-0.9078705224635426	0.012340770785331062	6	0.07404462471198636	200	0.6713256932999659	0.03354682881987039	10.0	0.3354682881987039																																													
41																															193	-0.906966551863817	0.012580221112678784	6	0.0754813266760727	291	-0.667629180993985	0.03490542772839501	10.0	0.34905427728395005																																													
42																															103	-0.9066805779121051	0.012656435036224734	6	0.0759386102173484	7	0.6648707638161662	0.035943184711362076	10.0	0.35943184711362075																																													
43																															229	-0.9058202465030791	0.01288705994146287	6	0.07732235964877722	181	0.6637941617716102	0.03635381599008083	10.0	0.3635381599008083																																													
44																															16	-0.9042498434098176	0.013313215584932779	6	0.07987929350959667	165	0.6568285813420802	0.03908742607748919	10.0	0.3908742607748919																																													
45																															2	-0.9037762055584286	0.013443058973047033	6	0.0806583538382822	75	-0.6557466343679744	0.039524090007885856	10.0	0.3952409000788586																																													
46																															134	-0.9035869108304726	0.013495122492348672	6	0.08097073495409203	159	-0.6537492394924005	0.040338827876721293	10.0	0.40338827876721295																																													
47																															226	0.902115855326594	0.013903029707177727	6	0.08341817824306635	126	-0.6337315942404047	0.04913505401490034	10.0	0.4913505401490034																																													
48																															65	-0.899876264949051	0.014535285157563065	6	0.08721171094537838	281	-0.6333414883022576	0.04931812067548042	10.0	0.4931812067548042																																													
49																															47	0.8976816151889889	0.015167989566563572	6	0.09100793739938143																																																		
50																															272	-0.8940685515030778	0.01623785429098799	6	0.09742712574592793																																																		
51																															118	0.8936045559940736	0.01637778804985454	6	0.09826672829912725																																																		
52																															11	0.8907328674047975	0.017256672517958545	6	0.10354003510775127																																																		
53																															199	0.8881641237802332	0.01806151444467247	6	0.10836908666803483																																																		
54																															58	0.8868475690268764	0.018480836925909964	6	0.11088502155545979																																																		
55																															119	-0.8857064896570666	0.018848001325134537	6	0.11308800795080723																																																		
56																															224	0.8852057322343326	0.019010222284143806	6	0.11406133370486284																																																		
57																															162	-0.8836114579781857	0.019531122441555956	6	0.11718673464933574																																																		
58																															121	0.8823902172729187	0.01993469864563314	6	0.11960819187379884																																																		
59																															288	0.8792312150216747	0.020996936769530294	6	0.12598162061718177																																																		
60																															139	-0.8791745641783877	0.021016226575300806	6	0.12609735945180484																																																		
61																															98	0.8790849486077208	0.021046758269198978	6	0.12628054961519386																																																		
62																															24	-0.8784627918383642	0.021259308597469762	6	0.12755585158481858																																																		
63																															181	-0.8780784491407346	0.021391123175419104	6	0.12834673905251462																																																		
64																															141	-0.8770419016484329	0.021748557996510445	6	0.13049134797906267																																																		
65																															183	0.8757634340022764	0.022193307922363414	6	0.13315984753418048																																																		
66																															102	0.8756528963387203	0.022231963254213085	6	0.1333917795252785																																																		
67																															79	0.8729424486145297	0.02318984754560058	6	0.1391390852736035																																																		
68																															28	0.8720132228432095	0.02352267162149884	6	0.14113602972899303																																																		
69																															239	-0.8705073794573807	0.024066820097431958	6	0.14440092058459175																																																		
70																															148	-0.8693566537513218	0.024486636208628187	6	0.1469198172517691																																																		
71																															160	-0.8691391193191668	0.024566386977048164	6	0.147398321862289																																																		
72																															256	-0.8686164021698743	0.024758525841971905	6	0.14855115505183142																																																		
73																															50	-0.8678163814473971	0.025053973787180748	6	0.1503238427230845																																																		
74																															19	0.8676640477470375	0.02511041957395025	6	0.15066251744370152																																																		
75																															123	-0.8673390767391773	0.025231036315651642	6	0.15138621789390985																																																		
76																															173	0.8649727838286764	0.026117591988376605	6	0.15670555193025965																																																		
77																															157	0.8620788085043798	0.027221596553706623	6	0.16332957932223974																																																		
78																															63	-0.8577729518523729	0.0289042775527223	6	0.1734256653163338																																																		
79																															205	0.856932507457176	0.02923828642397078	6	0.1754297185438247																																																		
80																															285	0.8567421766485387	0.029314179815524685	6	0.1758850788931481																																																		
81																															152	0.8538036573567183	0.03049770159740197	6	0.1829862095844118																																																		
82																															42	0.8530157691948054	0.03081879573805869	6	0.18491277442835213																																																		
83																															153	-0.8529309642523446	0.03085345167235803	6	0.18512071003414818																																																		
84																															131	0.8520748446512066	0.031204339229934402	6	0.18722603537960641																																																		
85																															263	-0.8516179993680901	0.03139234773142332	6	0.1883540863885399																																																		
86																															104	0.8512486255828734	0.031544748383427614	6	0.1892684903005657																																																		
87																															59	0.8512069207066255	0.03156197737333214	6	0.18937186423999286																																																		
88																															251	-0.8497149414112967	0.03218125923042478	6	0.19308755538254868																																																		
89																															54	-0.84670377375602	0.03344838927913117	6	0.20069033567478703																																																		
90																															90	0.8463839197704464	0.03358434169974254	6	0.20150605019845524																																																		
91																															282	-0.8451337318678298	0.03411821921308121	6	0.20470931527848726																																																		
92																															130	0.842500446982609	0.03525568824541327	6	0.21153412947247963																																																		
93																															69	-0.8415292017008194	0.03567965277378568	6	0.21407791664271408																																																		
94																															68	-0.8398891412258115	0.036400970718981886	6	0.21840582431389133																																																		
95																															85	-0.837679638392986	0.03738344937741747	6	0.22430069626450483																																																		
96																															192	-0.8329453173893883	0.03952988065908348	6	0.23717928395450089																																																		
97																															273	0.8327602990799554	0.039614902917553034	6	0.2376894175053182																																																		
98																															49	-0.8324211960426482	0.03977095439034895	6	0.23862572634209372																																																		
99																															120	0.8278441644335348	0.0419053019529333	6	0.2514318117175998																																																		
100																															124	-0.8262605624025694	0.04265589173479083	6	0.25593535040874493																																																		
101																															243	-0.825239752651517	0.04314302713542403	6	0.25885816281254415																																																		
102																															198	-0.8247154918998579	0.043394209819472646	6	0.2603652589168359																																																		
103																															77	0.8224062596922692	0.044508692758863	6	0.26705215655317804																																																		
104																															170	0.8211114620940597	0.04513934769152372	6	0.2708360861491423																																																		
105																															9	0.8200800483990364	0.04564467209849781	6	0.27386803259098685																																																		
106																															182	0.8179502146234553	0.046696428220534936	6	0.2801785693232096																																																		
107																															265	-0.817902771547334	0.046719983441084335	6	0.280319900646506																																																		
108																															71	0.8178981959228223	0.046722255504946866	6	0.2803335330296812																																																		
109																															34	-0.8164987542451934	0.047419568931370816	6	0.2845174135882249																																																		
110																															186	0.8134993546115743	0.04893025761074009	6	0.2935815456644405																																																		
111																															218	0.8129124764791337	0.04922841762168622	6	0.2953705057301173																																																		
